Name,Mean Lead Time : weeks,Mean Development Cost : $k,Human Resource Utilization : percent,Overall Development Risk : $k,Schedule Risk : $k,Development Cost Risk : $k
Baseline,125.4,1354.0,55.7,218051.4,4067.1,213984.3
Config1,99.6,788.9,55.8,27522.0,44.4,27477.6
Config2,96.5,1221.5,56.1,30196.8,2225.2,27971.6
Config3,84.5,1108.9,56.0,6113.0,939.0,5174.0
