DL_Eng,DL_EKM,T_Acc (MBSE),T_I (MBSE),T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation),T_Acc (new),T_I (new),T_Usab (new),New Tool,Cost,Lead Time,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
2.338251400372229,2.2515576243457502,0.3157123740398791,0.3501666166241374,0.4763797132889714,0.1947698459324249,0.4362234693524821,0.9834928250552434,0.7473828965997602,0.8952340695038801,0.7556496421171368,0.455632704864178,0.6407864552486527,0.2504335685564842,0.5817543616730513,0.9800354724283954,0.3675962436340373,0.6542881781417899,1.457296828503319,False,1265.1,86.0,0.368,6.3,0.185,0.734,0.482,0.707
1.3882809002014698,1.358281968531927,0.8150072465242922,0.1177053949786857,0.5142424437447557,0.7638162504725999,0.5487522651665108,0.0355194634836132,0.5499039816799327,0.9763723487128848,0.6591170113475423,0.0294672862760959,0.3014915745684433,0.5219745293826186,0.142102725526081,0.7471975144983364,0.1328830629192915,0.6365427874652394,1.6995116907715686,True,1940.0,156.6,0.299,8.9,0.089,0.599,0.491,0.512
2.010502198267368,1.2682026568311302,0.5865676585200802,0.9502262945987642,0.8878393040506866,0.3079396990096486,0.786623287096522,0.5306609367253323,0.1649297758888095,0.980870982261156,0.3109864840440295,0.9118771217491136,0.6304665243865499,0.2530771983437784,0.8053059438851066,0.0306105245598682,0.8303423742546441,0.9237544445984543,1.046616232930095,False,1316.4,94.1,0.365,7.2,0.153,0.701,0.422,0.622
2.006893560800572,2.265897270363733,0.6120110366358271,0.903520537155025,0.7495522508370817,0.6633499708674929,0.8036540978001449,0.6156481232716604,0.3356796633179212,0.3674306563744494,0.2054016092751634,0.950200966415758,0.4352305978232845,0.4143061456469887,0.5332771870592632,0.0169757206006897,0.7616871515509144,0.5606467941908506,1.3199349910804412,False,1148.7,78.3,0.387,5.6,0.128,0.731,0.463,0.693
2.350883902818911,1.1893409927003908,0.1057634464659211,0.6897287177595197,0.661798438508333,0.1862636322449377,0.6503358845817038,0.9125672063086814,0.5435602019714834,0.69378483985554,0.4484538860163035,0.4904135436330172,0.5782890176906961,0.6222260321292169,0.827730348739513,0.6264168940200516,0.5772163342251958,0.6600357809255901,2.880447305122152,False,1489.2,105.9,0.316,7.3,0.093,0.729,0.44,0.618
1.2118654568956884,1.247436731453919,0.7733580248099042,0.5916648769096432,0.1879427503905132,0.8143525095173637,0.4434059353296166,0.3886901847397665,0.6532408387720252,0.7168010223283462,0.3558912706694399,0.641610313984682,0.177098792410824,0.9950656658382292,0.1314190365741084,0.307041433451505,0.1655823773677334,0.9990988493694462,2.410728690188331,False,1752.9,121.6,0.314,7.5,0.067,0.668,0.529,0.577
2.1221341651326355,2.0537316453491723,0.228805062767757,0.6579751208826781,0.3415904338845853,0.4979105811538581,0.5025008776922849,0.0112066258470667,0.1752253511632097,0.6968181865674267,0.4397566020831596,0.3745858143497736,0.1648459108378517,0.8344787536431697,0.3668573020480471,0.5039836233089292,0.3441192716606929,0.0015994568908294,1.6766420775776054,True,1510.4,120.6,0.323,6.9,0.152,0.682,0.476,0.586
2.7754679242095754,2.758745497125686,0.2335105033754789,0.0700084345720967,0.3522180192632872,0.0745653551884529,0.8438373774314689,0.0609716187519688,0.646549987211943,0.9721635180952202,0.8639769719249226,0.9777352589007392,0.3283260559546097,0.7583447110761036,0.8547011442291893,0.9312539987688472,0.3814243519227395,0.5418678659541906,1.4234657282721437,False,1412.9,93.9,0.316,7.0,0.104,0.745,0.456,0.613
2.5072159069194377,2.484417434711088,0.3905958810552755,0.3201532352781737,0.2706905101624671,0.3367903987510244,0.1661150200354955,0.3206680879964775,0.8326086928147143,0.0434309814529993,0.5830507516785838,0.6450409921763449,0.2456998940457803,0.4386073955618034,0.8785717428554233,0.5786187164590523,0.7754084749471882,0.1789588687467919,1.6119631852646674,False,1398.9,93.7,0.331,6.9,0.105,0.73,0.431,0.618
2.8559373674756543,1.4608261694689757,0.1929203274893301,0.5759051808163339,0.5505714339392888,0.8504253324166927,0.4939334833785618,0.5986375066671067,0.7834328287559662,0.8299943158362475,0.3837086547468998,0.6176193530597203,0.3843783550270957,0.7946834957871074,0.3025743610438106,0.9519849405814372,0.6568418690809708,0.8779466735014743,2.937736112057288,True,1399.6,107.7,0.326,7.8,0.112,0.672,0.512,0.629
1.617849567725698,2.986617461676002,0.6165938425319477,0.9050157077493656,0.2195005353404628,0.2783082990567631,0.7000999422719655,0.6663161271539545,0.411767652708471,0.2232864768016691,0.8176808652391917,0.9523046808825903,0.5087237793194518,0.7314937120073183,0.3321355384833683,0.2615596239773967,0.8058812081962022,0.0050568292325834,1.2729513729014843,False,1304.9,91.7,0.363,5.8,0.113,0.725,0.528,0.723
2.1049038035033187,2.516774971109105,0.4243666217367327,0.0907354487949989,0.383316599788334,0.1754042618007002,0.5969303623131482,0.5694709482517971,0.808691967101581,0.2127323122271512,0.108154300873306,0.971716152108249,0.3146282513113989,0.94764733719342,0.1511373525450626,0.9972883822879152,0.3477546904190738,0.2833331471847211,1.991397502565791,True,1388.3,106.0,0.335,6.7,0.08,0.681,0.501,0.673
1.5035016201574758,2.2805522411615264,0.7535324819862859,0.3623562121415989,0.3453372208655186,0.6036124612134922,0.8123886980712841,0.4824119426830968,0.8439226701238285,0.4649910319595123,0.3020730720719732,0.9792252113808207,0.4041134330082551,0.1139645031190374,0.2757065854480719,0.4054351195356441,0.1121790972606918,0.6776083204389585,2.2795754636724865,True,1443.1,113.9,0.36,6.4,0.086,0.634,0.535,0.671
2.068826466098586,1.2526092217951996,0.4372352930530544,0.686568091619862,0.5013010131595388,0.5648660625314901,0.8465495001753517,0.0082200297343731,0.6092715112805365,0.8802827270322272,0.6704825876283849,0.9326329824823872,0.4360602690076733,0.9906913929993418,0.8847504181302689,0.3065622048206861,0.1870336628171919,0.0778703069428518,1.7600604273352904,False,1635.1,114.8,0.291,8.5,0.081,0.713,0.425,0.54
2.237556629489117,1.147749642701336,0.1622350415476636,0.1518928076117008,0.4951366236933111,0.8937905595560999,0.3147274996587228,0.1143126265699439,0.4592786948843846,0.4332209510726388,0.4139742047832663,0.1943384756200015,0.4684084859106263,0.0685125137185803,0.2300830662422596,0.0319246442511438,0.2997927141636027,0.6172861718353096,2.576403516744349,False,1950.8,135.0,0.262,8.7,0.086,0.689,0.339,0.522
2.956581107326957,1.1994269845138776,0.8337030459999263,0.1473807153908685,0.5183337657998549,0.3962198601132187,0.4927349481440629,0.7803900828214602,0.1511592475026291,0.1884044021541251,0.1448703103945615,0.1009457199443569,0.3513846225457123,0.4086541893462527,0.5902040016981225,0.856260819518166,0.3472906308975815,0.5676551536174035,2.763941215700276,False,1563.3,102.3,0.318,8.6,0.116,0.695,0.346,0.585
2.84907585562168,2.4410406285569644,0.3569940532911544,0.0456364512806014,0.1930917534568233,0.5876507505014572,0.2632215017954565,0.6589820486204793,0.8676960252852147,0.940158366394314,0.1586640167796431,0.5669481463324793,0.5931024111056156,0.2864768718312655,0.6396094594375585,0.6915754374426591,0.703048207666711,0.7868473862608167,1.0686313768947973,False,1336.1,89.0,0.324,6.8,0.081,0.743,0.452,0.685
2.826314048714666,1.3859578813998614,0.3491033266360062,0.2005635712359925,0.2891891446305241,0.5532618974328948,0.2453301024214511,0.8660294174738468,0.134613704445327,0.4767753612664118,0.4327043602550063,0.2558182460825561,0.1572539454751894,0.9218754547876552,0.1264067467874977,0.7339048036925911,0.5508780669301793,0.2990155634470993,2.857919965489316,True,1491.5,117.0,0.314,7.7,0.088,0.666,0.455,0.626
1.3755915946093422,2.693481285849919,0.4711569031114584,0.0192802774954352,0.8256949540204366,0.9059868364172398,0.5558506985166721,0.2686241881198106,0.4764501989513496,0.2112555794439573,0.5661750272174041,0.6873142204723897,0.5728612945294734,0.6813560915392128,0.1174508060314643,0.2482015586066524,0.7691777615721789,0.3626842408383023,2.069056185890401,False,1529.9,101.7,0.344,6.6,0.105,0.679,0.519,0.626
2.844994280743097,2.8291083851830363,0.8491699082182189,0.9771986638731864,0.3204535889430859,0.14180511856214,0.5890261579887884,0.0431207442851842,0.853766625738989,0.6419055959345094,0.5140082978552843,0.4071236424681929,0.5922874437562972,0.838835278511521,0.8898030354967256,0.3614216357153938,0.1531155971076363,0.6891594346825318,1.0318763270573492,False,1302.2,90.7,0.338,7.9,0.105,0.741,0.441,0.61
1.351625530271832,1.1929545469293992,0.5839255535690547,0.2981516500391733,0.8072720185706843,0.4654568235057719,0.6776924619062857,0.226476127744611,0.3982202989308705,0.3527346004328338,0.3947606199903435,0.814130922582278,0.4772484028919711,0.6977217744018097,0.4359063631017549,0.569263301851737,0.863956774490136,0.5439741112070374,1.5862626039001788,True,1688.7,136.4,0.346,8.8,0.165,0.528,0.493,0.56
2.6495704653541696,2.2451539682769224,0.8194267473139197,0.633350196919477,0.576681298945488,0.3370377768872684,0.1216999601341003,0.2889321003510772,0.4421896142344437,0.4505535724830919,0.7335903492609254,0.4568834866088047,0.6056198606698462,0.5630971883503265,0.3175932503943863,0.8811742613672656,0.1791751617067324,0.6505261959284289,2.839321857023255,False,1318.9,90.3,0.345,7.5,0.123,0.728,0.424,0.629
2.395786786406489,1.4980439468627529,0.7378579222249091,0.7219376337415331,0.2636574370639584,0.8748703997955408,0.5462695841527662,0.0964865764344536,0.1821070768763207,0.3989323978778424,0.5447433229816773,0.5041550076299327,0.356349162867698,0.122905276516716,0.8093999065393034,0.370739449124124,0.5075945746126868,0.2390921240334888,1.8428718776239568,True,1417.5,109.9,0.355,8.2,0.143,0.633,0.389,0.55
2.263712153554941,1.534193944668893,0.8223500694016566,0.3452340888171658,0.8010004777802311,0.188819398904416,0.1489904739815907,0.9919388878772892,0.846941259067498,0.7809451467200473,0.353888087801451,0.689400706494608,0.4013771662910919,0.3665597097607246,0.1236977449280777,0.1776296042816861,0.5036711372777903,0.7641909259189014,1.0011963044328194,False,1337.9,93.2,0.346,7.2,0.097,0.713,0.428,0.663
1.287960159565788,2.3950734334917323,0.4409731796818775,0.4191787526907658,0.6104834586984075,0.4809447119387978,0.6463864861137614,0.3516464621127617,0.1385700862286305,0.290207656876139,0.5559171190717784,0.823642843096396,0.7683432329763888,0.9876221690199708,0.1296370809261637,0.7276249419987576,0.4636917316457926,0.2349273719003564,1.853005117658776,False,1530.8,104.0,0.339,6.5,0.072,0.687,0.552,0.642
2.8771552461652625,1.213443384241539,0.735493518526176,0.5367692642333739,0.2961137906222658,0.6550528778860224,0.5080318939484499,0.5320677346270358,0.2905304598689044,0.0039991504187779,0.7067359411150519,0.2833348445589488,0.8416595608443996,0.911464278346463,0.4500503896496338,0.3774259663465364,0.3077092374645503,0.9309679217766472,2.0597316445294043,False,1412.5,94.3,0.339,9.0,0.118,0.679,0.364,0.536
2.301880352116876,2.1080453837334585,0.4929341106208287,0.4263547893803872,0.6739129932277368,0.0751643793180275,0.8255147624556632,0.6041411950885804,0.1078062084314182,0.4095750825184715,0.2522687931704413,0.1983740248855207,0.8553656276435435,0.5564487448991351,0.479930528728669,0.7987782291803955,0.7603983671224211,0.1575208585747848,2.974465202360888,False,1356.0,93.5,0.334,7.5,0.085,0.721,0.454,0.65
1.1240361201516442,1.589078716676795,0.615048578948157,0.1363561970208957,0.5550253170147564,0.0315113727418907,0.7546718096117496,0.7203474908270072,0.5273376355360724,0.1905453409986334,0.3226723852593079,0.715525784050227,0.8241408627615993,0.7078791345902921,0.526397025332564,0.4789330990462022,0.5935969348623485,0.7199381166400454,1.6771361580186062,False,1662.6,114.6,0.35,6.9,0.116,0.641,0.529,0.638
1.851100436868601,1.295622738651241,0.3773675506264038,0.419954421087337,0.2612466053696101,0.0592019426299339,0.7195530756613525,0.9481313560026736,0.7054177039903807,0.6645776285113231,0.6529096616805775,0.7851624801073175,0.4843477222946218,0.0341805863613256,0.6821433016298539,0.3082155619367475,0.7059842786076672,0.1619680532769065,1.065480572201906,False,1463.8,102.8,0.345,7.1,0.101,0.693,0.421,0.636
2.004499302107491,1.9270584117004792,0.247226502793653,0.7185464737739301,0.6268432999695978,0.6147216314133452,0.657877728908902,0.0374362954662657,0.7440879606125418,0.9167616853437136,0.8150867640485437,0.98593992807687,0.1260623558770055,0.4289366584254915,0.6279057911900295,0.6247096060755029,0.1078990777354671,0.932493680746056,2.36646596092338,True,1469.7,112.3,0.314,6.8,0.089,0.689,0.522,0.607
2.824500413275448,1.4634021922545148,0.3052543685065744,0.085412632509873,0.6403977690488315,0.7515359270323128,0.8273178356758811,0.9385115172357904,0.4442092730215339,0.0296550474223998,0.6021695381065446,0.0822727029216882,0.4103516521183513,0.4003789173302921,0.153091436778071,0.8653563111055438,0.7420406568785578,0.9224259987876932,1.3603469156020995,False,1576.7,106.5,0.297,7.7,0.109,0.728,0.402,0.623
1.3060560296868742,1.88051606462396,0.1905745253273357,0.3907196777475964,0.1708101122567633,0.0036995400670133,0.8816484760089341,0.905435063353606,0.6763530925466903,0.4398730855091905,0.1892958685694858,0.1326124255545309,0.8140129194820952,0.5998043996785476,0.2829074482905923,0.5812805564611515,0.4801981592726259,0.337926260956655,1.908701362735644,False,1683.3,117.5,0.311,7.2,0.091,0.689,0.551,0.665
2.794634243986711,2.7878606159378565,0.5534555704475269,0.7627750848277004,0.4383495741614781,0.6626906704266843,0.5166588029656428,0.4137596828688945,0.7291281617135204,0.870162556943941,0.8657531839796562,0.9678440657652428,0.1242408142469169,0.5518532292243971,0.8247193038042188,0.4044857365881801,0.5468151571126738,0.3143744096801516,1.577563943507859,False,1207.5,82.3,0.358,6.1,0.133,0.755,0.467,0.699
2.797460893661304,2.216226021744796,0.3856783431710996,0.6938398462691584,0.2728180161804243,0.0394022320818245,0.8801656783484814,0.205327743587355,0.2025665906063544,0.925858986103757,0.73663424578861,0.1228725777072653,0.1138678091840633,0.6286015363402109,0.8483429628520189,0.2652046854744508,0.1900205372247544,0.0640055307751365,2.554413037897409,False,1363.6,93.7,0.333,7.0,0.15,0.738,0.431,0.594
2.3067747635368345,1.382965924064761,0.31796849645007,0.8060730107677914,0.829765945933632,0.4769063777140587,0.3403216197218217,0.6064819249628322,0.1790946950409637,0.7270068069086418,0.7195112017311601,0.7259555847123882,0.5403977346870348,0.2429201560520548,0.359567156155736,0.9383045719293552,0.5235850632725491,0.8789186329914226,2.748564181090213,False,1367.6,94.2,0.349,6.7,0.141,0.726,0.43,0.624
2.468711196567205,1.6790115750075714,0.8538362967706695,0.2156621127052539,0.7748655465445015,0.9534974459131934,0.6357686598856815,0.7882939882243071,0.7871396082914547,0.8324813249080121,0.1467682469090063,0.0995713716710148,0.7483950028641722,0.0793617692887421,0.4627608938107808,0.942053974491042,0.4507071154885225,0.9112498523052108,2.675067739898028,False,1320.4,85.5,0.356,8.1,0.129,0.698,0.416,0.622
1.4797776487246463,2.895093567981515,0.1945859932208136,0.7421471992807168,0.2723500247708875,0.8447512963451178,0.2305247429687044,0.8831350449662524,0.3812774111752531,0.6520221857742601,0.4835867575954174,0.8945825750361561,0.1546469078430482,0.9565057676020824,0.5501301629832985,0.7398700120622117,0.8069124806621372,0.0733250389015807,1.9118125013826008,True,1433.2,116.7,0.346,6.1,0.108,0.644,0.613,0.749
1.2048526992106023,1.89232540212496,0.8361933795295252,0.7641371999605497,0.4914225523845716,0.8018223651506321,0.7348547489563377,0.3560217869113963,0.7766355589012605,0.7993241434584222,0.872090819436793,0.7864834787650606,0.819988969736768,0.6695872146287367,0.3963358497052455,0.2667671686197592,0.1583782325749416,0.3425310676342541,1.4161985359985376,True,1504.9,120.2,0.357,6.7,0.091,0.619,0.564,0.637
2.762990301558893,2.5612177517507337,0.1959797468838496,0.7806984310757141,0.8203141390416471,0.6762568196268557,0.5000015364475007,0.9030489077027196,0.3782829131684225,0.5408524857285265,0.7788732944464422,0.0608661591403131,0.4514024075739967,0.2112297781262549,0.6887977927985106,0.5914492569421326,0.4908611799422421,0.8219822526802398,1.5617031677977096,True,1314.9,102.7,0.338,6.6,0.135,0.712,0.509,0.697
2.333945180103921,1.334716769931149,0.8854404901878364,0.225934398626133,0.240826314996067,0.1139492180261322,0.7578053448446241,0.8071095487087442,0.717688351375107,0.7500007984679223,0.3988768404390767,0.5371613272279546,0.1025106703878798,0.2320764308311925,0.8300349984667083,0.482788385516799,0.4487019039504801,0.4695422387367998,2.716374960134742,False,1356.1,90.8,0.362,7.4,0.118,0.684,0.387,0.621
2.548747685925225,2.5088744091861006,0.8471468286460974,0.0969320016759698,0.8420810320463649,0.8490033899416563,0.4118797560445668,0.414638964870383,0.6309488867995675,0.259816255497878,0.4434873937059905,0.2998907889783716,0.1396728229469924,0.4500641912678803,0.2220620552339514,0.0703487313809566,0.5905493844183425,0.529004808364412,2.63415382138206,False,1318.5,86.6,0.356,7.4,0.164,0.711,0.411,0.608
2.310014851156651,1.2126109437837571,0.8186162899376068,0.7654376694510827,0.8434607725430079,0.8879186964988655,0.3244632033440657,0.9670951317542126,0.8585205063356197,0.6038408841446216,0.1164720927321276,0.2356429813288139,0.2704554723136946,0.646053243150105,0.6593896918072557,0.1028947809331618,0.4582869989083445,0.5504631496714678,2.628817943811542,False,1327.4,91.5,0.355,7.8,0.157,0.709,0.422,0.616
2.58226743310365,2.013236521156257,0.1146392366734017,0.6351948752098978,0.2358165940882752,0.716607332368754,0.4036736502635868,0.6300785806314821,0.5304988877088683,0.7817812314124855,0.811450595295259,0.9935724588042906,0.6553052712627611,0.5174130964410261,0.8912982495038076,0.5304204480029995,0.2238973934157191,0.5950382587306144,2.203809950493898,False,1272.9,86.4,0.342,6.1,0.109,0.753,0.478,0.688
1.661171066632334,2.385941758061773,0.1676964363195794,0.2036375405375557,0.6275680566094028,0.9947119517612724,0.5235242731803949,0.0593555555732081,0.2612713158705569,0.1165724330767182,0.4917279645573235,0.4001931151169295,0.4730180595720279,0.5362459802227447,0.2162136889672288,0.9094458244918644,0.2343808072034728,0.6736592586167195,2.5869560263238416,False,1647.2,109.2,0.306,7.3,0.107,0.709,0.488,0.573
2.866533840832695,2.211148908461196,0.8130644725055143,0.8963175701506638,0.5066286547347815,0.6198725453883415,0.3012215342566643,0.7366763939734412,0.1119646846939922,0.4476653812681994,0.4497569547621135,0.8667457296178471,0.5950988486808368,0.3010228084362109,0.6964473168236147,0.7105168904348692,0.2765795729175889,0.5087299350701533,2.864049468813988,False,1200.5,84.3,0.357,6.2,0.101,0.759,0.447,0.713
