Name,Mean Lead Time : weeks,Mean Development Cost : $k,Human Resource Utilization : percent,Overall Development Risk : $k,Schedule Risk : $k,Development Cost Risk : $k
Baseline,232.2,3641.8,12.4,5239207.2,4185222.1,1053985.1
Configuration1,175.6,2214.2,13.8,594547.0,379374.5,215172.4
Configuration2,,,,,,
