Config. No.,Cost,Lead Time,Risk,Rework Efficency,Average Iterations,FPY,Physical Cost,Work Efficency,Average Consitency,T_Acc (old),T_I (old),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab
DOE4-73,1703.4,127,17341.1,0.243,13.5,0.063,0.543,0.738,0.613,0.5,0.8,1,1,True,0.2,0.8,3
DOE4-74,1474,87.2,1063.1,0.192,14.2,0.056,0.745,0.578,0.662,-0.5,0.5,2,3,False,0.5,0.5,2
DOE4-75,2017.3,117.7,10946.9,0.206,15.3,0.056,0.624,0.584,0.531,-0.5,0.5,1,1,False,0.5,0.2,3
DOE4-76,1422.7,83.8,1129.6,0.206,14.5,0.057,0.723,0.552,0.632,0,0.5,2,2,False,0.5,0.5,2
DOE4-77,1094,76.2,143.3,0.277,15.2,0.101,0.553,0.565,0.674,-0.5,0.5,3,3,True,0.8,0.2,3
DOE4-78,1363.4,88.3,659.4,0.244,12,0.062,0.664,0.754,0.756,0.5,0.8,1,3,False,0.2,0.8,3
DOE4-79,1014.6,63.2,58.7,0.248,11.9,0.067,0.763,0.601,0.752,0.5,0.8,3,3,False,0.8,0.8,2
DOE4-80,1170.1,78.9,576,0.253,14.1,0.075,0.633,0.568,0.622,0.5,0.8,3,1,True,0.5,0.8,3
DOE4-81,2052.7,112.7,11722.2,0.182,17,0.059,0.674,0.322,0.459,-0.5,0.2,3,1,False,0.2,0.2,1
DOE4-82,1867.8,137.3,25756.1,0.209,15.9,0.055,0.545,0.745,0.64,0,0.8,1,1,True,0.8,0.8,2
DOE4-83,1623.6,88.9,1839.4,0.237,15.6,0.068,0.633,0.308,0.461,0.5,0.2,3,1,False,0.8,0.2,1
DOE4-84,1263.2,83.1,1681.8,0.276,16.9,0.124,0.515,0.467,0.514,-0.5,0.2,3,2,True,0.8,0.2,2
DOE4-85,855.7,60.5,96.1,0.324,12.6,0.152,0.584,0.633,0.761,0.5,0.8,3,3,True,0.8,0.5,3
DOE4-86,1314.2,76.5,563.5,0.237,14.7,0.063,0.684,0.49,0.542,0.5,0.2,2,3,False,0.5,0.2,2
DOE4-87,1935.7,122.9,14413.3,0.21,18.4,0.057,0.547,0.367,0.49,0,0.2,3,1,True,0.5,0.5,3
DOE4-88,1680.3,102.4,2502.9,0.213,13.8,0.058,0.651,0.697,0.66,0,0.5,1,3,False,0.2,0.8,1
DOE4-89,1374.2,88.7,1117.3,0.243,12.1,0.062,0.663,0.755,0.755,0.5,0.8,1,3,False,0.8,0.2,3
DOE4-90,1916.8,112.5,8582.9,0.201,15.7,0.06,0.635,0.637,0.528,-0.5,0.2,1,3,False,0.2,0.2,3
DOE4-91,1805.3,120.1,13222.4,0.238,16,0.07,0.558,0.328,0.469,0.5,0.2,3,1,True,0.2,0.2,3
DOE4-92,1281.7,77.9,220.9,0.194,12.7,0.06,0.793,0.632,0.75,-0.5,0.8,3,3,False,0.2,0.5,3
DOE4-93,1593.4,91.4,1848.1,0.183,16,0.058,0.736,0.474,0.537,-0.5,0.2,3,3,False,0.2,0.8,1
DOE4-94,1015.1,69.2,33.6,0.313,13.9,0.129,0.529,0.565,0.643,0.5,0.5,2,2,True,0.8,0.5,2
DOE4-95,1556.1,99.3,3796.4,0.216,12.3,0.058,0.678,0.771,0.747,-0.5,0.8,1,3,False,0.2,0.2,1
DOE4-96,2348.6,133.3,30757.7,0.202,16.5,0.057,0.596,0.499,0.46,0,0.2,1,1,False,0.2,0.5,2
DOE4-97,1004.5,68.7,50.8,0.316,14.2,0.126,0.521,0.486,0.617,0.5,0.8,3,1,True,0.8,0.2,1
DOE4-98,1419,95.7,3010,0.221,15.8,0.061,0.612,0.591,0.668,0,0.5,2,2,True,0.5,0.5,2
DOE4-99,1404.8,82.6,893.7,0.209,14.3,0.057,0.721,0.551,0.631,0,0.5,2,2,False,0.5,0.5,2
DOE4-100,1148.9,69.4,403.5,0.239,13.7,0.066,0.728,0.521,0.602,0.5,0.8,3,1,False,0.2,0.2,3
