Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (MBSE),T_I (MBSE),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab,T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation)
1448.1,99.3,4717.7,0.404,6.1,0.124,0.532,0.586,0.657,0.8,0.5,1,3,False,0.8,0.8,3,0.5,0.8,0.8,0.2,0.8,0.8,0.8,0.2,0.8,0.8,0.2,0.2
1154.2,79.7,496,0.383,5.9,0.115,0.648,0.469,0.695,0.8,0.8,2,2,False,0.2,0.2,3,0.2,0.8,0.8,0.5,0.8,0.8,0.2,0.2,0.2,0.2,0.8,0.5
1494,102.3,5995.6,0.325,6.9,0.091,0.611,0.421,0.62,0.5,0.2,2,1,False,0.5,0.5,2,0.2,0.2,0.5,0.8,0.5,0.8,0.8,0.2,0.5,0.8,0.5,0.2
1112.5,90,1398.3,0.4,5.8,0.126,0.584,0.482,0.735,0.8,0.2,3,3,True,0.5,0.2,1,0.2,0.2,0.5,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8
1863.9,131,26625.1,0.32,6.3,0.082,0.555,0.594,0.628,0.2,0.2,1,2,False,0.8,0.2,3,0.8,0.2,0.5,0.5,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.8
1431.2,101.8,5030.7,0.405,6,0.131,0.541,0.591,0.677,0.8,0.8,1,2,False,0.2,0.8,2,0.8,0.2,0.8,0.5,0.2,0.5,0.5,0.2,0.2,0.8,0.8,0.5
1359.5,94.5,2656.3,0.356,6.5,0.118,0.632,0.426,0.604,0.5,0.8,2,1,False,0.8,0.8,3,0.8,0.8,0.5,0.5,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.8
1500.3,100.4,5263.5,0.333,6.9,0.092,0.599,0.401,0.604,0.5,0.2,2,1,False,0.2,0.2,1,0.5,0.2,0.2,0.5,0.5,0.5,0.2,0.8,0.8,0.8,0.2,0.2
1335.6,87.2,1089.7,0.358,7,0.128,0.609,0.369,0.622,0.8,0.2,3,1,False,0.8,0.8,3,0.8,0.8,0.5,0.8,0.8,0.5,0.2,0.2,0.8,0.5,0.2,0.8
1275.1,88,1296.4,0.336,5.5,0.09,0.673,0.53,0.719,0.2,0.5,2,3,False,0.2,0.8,1,0.8,0.2,0.5,0.8,0.5,0.2,0.2,0.5,0.8,0.8,0.5,0.8
1375.1,92.3,3884.9,0.314,6,0.084,0.671,0.435,0.636,0.2,0.2,3,2,False,0.5,0.5,1,0.2,0.2,0.5,0.2,0.8,0.8,0.2,0.8,0.2,0.2,0.5,0.8
1676.2,116.7,15994.3,0.29,7,0.073,0.642,0.415,0.542,0.2,0.8,2,1,False,0.2,0.8,1,0.8,0.8,0.5,0.2,0.8,0.8,0.8,0.2,0.2,0.5,0.8,0.8
1236,79.5,657.9,0.368,6.5,0.119,0.625,0.469,0.636,0.8,0.2,2,2,False,0.2,0.2,1,0.8,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.2,0.8,0.2,0.8
1144.6,78.4,898.8,0.367,5.7,0.11,0.678,0.453,0.704,0.5,0.8,3,2,False,0.2,0.2,3,0.5,0.5,0.8,0.8,0.2,0.2,0.2,0.2,0.8,0.2,0.5,0.8
1140.9,76.5,624.3,0.377,6.2,0.125,0.654,0.424,0.679,0.8,0.5,3,2,False,0.8,0.8,1,0.2,0.5,0.5,0.5,0.5,0.8,0.2,0.2,0.5,0.2,0.8,0.5
2454.7,218.7,279722.1,0.319,7.2,0.087,0.399,0.496,0.512,0.2,0.2,1,1,True,0.8,0.2,2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.8,0.5
1511,99.7,4158,0.339,6.9,0.101,0.586,0.377,0.584,0.5,0.2,2,1,False,0.8,0.5,3,0.8,0.5,0.5,0.2,0.8,0.8,0.2,0.8,0.5,0.5,0.8,0.2
1106.9,74.3,760.1,0.382,6.1,0.116,0.664,0.437,0.659,0.8,0.8,3,3,False,0.8,0.2,1,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.5,0.2,0.2
1157.5,98.4,2271.8,0.385,6.3,0.207,0.496,0.584,0.688,0.2,0.8,2,3,True,0.8,0.5,2,0.2,0.5,0.2,0.5,0.5,0.8,0.5,0.2,0.8,0.8,0.8,0.5
1767.1,122,16339.9,0.366,7,0.114,0.506,0.522,0.619,0.8,0.2,1,1,False,0.5,0.5,3,0.8,0.2,0.2,0.5,0.2,0.8,0.2,0.8,0.5,0.8,0.8,0.2
1535.8,108.2,7441.4,0.383,5.6,0.108,0.54,0.589,0.722,0.5,0.2,1,3,False,0.2,0.8,3,0.8,0.2,0.2,0.8,0.2,0.2,0.8,0.5,0.2,0.2,0.8,0.5
1678.6,118.1,11052.5,0.344,5.7,0.084,0.557,0.613,0.682,0.2,0.2,1,2,False,0.2,0.8,1,0.8,0.8,0.8,0.8,0.2,0.8,0.2,0.2,0.8,0.8,0.8,0.2
1866.1,129.5,19346.4,0.352,6.9,0.088,0.512,0.506,0.602,0.5,0.2,1,1,False,0.5,0.2,3,0.8,0.2,0.8,0.8,0.8,0.2,0.5,0.2,0.5,0.5,0.2,0.5
1677.2,117.8,15317.7,0.372,7,0.112,0.528,0.557,0.625,0.8,0.5,1,1,False,0.8,0.8,3,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.5,0.8,0.2,0.8
1328.3,90.1,910.7,0.33,5.5,0.085,0.666,0.513,0.704,0.2,0.2,2,2,False,0.5,0.2,3,0.8,0.5,0.2,0.8,0.5,0.5,0.2,0.8,0.2,0.8,0.5,0.2
1456,104.5,5576.3,0.401,6,0.128,0.541,0.577,0.668,0.8,0.8,1,2,False,0.8,0.5,2,0.8,0.2,0.8,0.2,0.5,0.5,0.2,0.8,0.5,0.5,0.5,0.8
1598.1,112.1,10054.8,0.298,6.6,0.08,0.646,0.362,0.594,0.2,0.5,3,1,False,0.8,0.2,3,0.5,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.2,0.2,0.5
1638.4,108.2,10131,0.296,6.9,0.096,0.62,0.363,0.542,0.2,0.2,3,1,False,0.8,0.2,1,0.2,0.8,0.2,0.2,0.2,0.5,0.8,0.5,0.8,0.8,0.8,0.2
1164.9,78.4,315.1,0.362,5.9,0.109,0.671,0.45,0.686,0.5,0.5,3,3,False,0.8,0.8,1,0.2,0.2,0.2,0.5,0.8,0.2,0.8,0.2,0.2,0.5,0.8,0.5
1319,96.1,2516.7,0.425,5.1,0.147,0.555,0.617,0.768,0.8,0.8,1,3,False,0.2,0.2,3,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.5,0.2,0.5
1980.7,139.5,34766.6,0.318,6.5,0.084,0.539,0.553,0.591,0.2,0.2,1,1,False,0.2,0.2,1,0.8,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.2
1135.4,79.1,1137.2,0.384,5.6,0.102,0.654,0.48,0.727,0.8,0.8,2,3,False,0.5,0.5,2,0.5,0.2,0.8,0.5,0.2,0.2,0.5,0.8,0.2,0.2,0.8,0.8
1139.1,80.2,556.9,0.36,5.6,0.094,0.686,0.462,0.707,0.5,0.8,3,2,False,0.8,0.8,2,0.2,0.2,0.5,0.5,0.8,0.8,0.5,0.8,0.2,0.5,0.5,0.2
1186.4,78.9,514,0.352,5.9,0.098,0.672,0.46,0.71,0.5,0.2,3,3,False,0.2,0.2,2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.5,0.8,0.5
1861.7,130.3,22393.9,0.356,6.8,0.091,0.51,0.504,0.606,0.5,0.2,1,1,False,0.8,0.8,3,0.2,0.2,0.8,0.8,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.2
1255.5,87.5,2095.8,0.389,6.8,0.139,0.617,0.344,0.627,0.8,0.8,3,1,False,0.2,0.2,1,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.2
1189.5,79.3,1101.2,0.355,6,0.101,0.667,0.444,0.654,0.5,0.5,3,3,False,0.8,0.5,3,0.2,0.2,0.2,0.2,0.5,0.8,0.8,0.2,0.5,0.2,0.2,0.8
1342.8,95.7,2288.7,0.352,6.5,0.108,0.633,0.431,0.625,0.5,0.8,2,1,False,0.8,0.2,1,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.2,0.2,0.5,0.2,0.8
1587.5,107.1,6192.5,0.384,6.6,0.11,0.519,0.55,0.632,0.8,0.2,1,2,False,0.8,0.5,3,0.8,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.5,0.5
1124.5,76.3,296.9,0.378,6,0.108,0.665,0.424,0.675,0.8,0.8,3,2,False,0.2,0.8,1,0.8,0.8,0.8,0.2,0.2,0.5,0.8,0.8,0.2,0.2,0.5,0.5
2042.2,150.6,57685.2,0.314,6.8,0.077,0.548,0.533,0.535,0.2,0.8,1,1,False,0.2,0.8,3,0.2,0.5,0.8,0.2,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2
1590.4,138.5,31233.9,0.41,7.4,0.205,0.392,0.562,0.629,0.8,0.5,1,1,True,0.8,0.8,1,0.2,0.8,0.2,0.8,0.2,0.2,0.8,0.8,0.2,0.8,0.2,0.2
1347.4,119.6,11478.1,0.428,5.8,0.202,0.423,0.634,0.757,0.8,0.8,1,3,True,0.8,0.2,1,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.5,0.2,0.8,0.8,0.2
1061.5,87.2,890.3,0.418,6.6,0.19,0.524,0.469,0.688,0.8,0.5,3,3,True,0.8,0.2,1,0.2,0.2,0.5,0.2,0.8,0.8,0.5,0.8,0.5,0.5,0.2,0.5
2025.7,149.3,54205.5,0.317,6.8,0.087,0.542,0.529,0.522,0.2,0.8,1,1,False,0.2,0.2,3,0.5,0.2,0.8,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.5
1783.8,124.6,17336.2,0.333,6,0.078,0.548,0.587,0.62,0.2,0.2,1,3,False,0.2,0.5,2,0.8,0.8,0.8,0.2,0.8,0.5,0.2,0.2,0.2,0.2,0.5,0.2
1402.3,98.2,5176.9,0.414,5.5,0.131,0.533,0.597,0.747,0.8,0.2,1,3,False,0.8,0.2,1,0.8,0.2,0.2,0.8,0.8,0.5,0.5,0.8,0.2,0.8,0.5,0.8
1571.7,110.4,8921.8,0.3,6.6,0.072,0.649,0.371,0.601,0.2,0.5,3,1,False,0.5,0.8,1,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.2,0.2,0.2,0.2
2226.2,192.3,158550.6,0.325,6.7,0.085,0.431,0.56,0.575,0.2,0.2,1,1,True,0.8,0.8,2,0.8,0.8,0.8,0.5,0.2,0.5,0.8,0.8,0.2,0.2,0.2,0.5
1578.5,115.8,10220.8,0.361,5.2,0.091,0.565,0.617,0.736,0.2,0.5,1,3,False,0.2,0.5,2,0.2,0.2,0.5,0.8,0.2,0.8,0.8,0.5,0.5,0.2,0.8,0.2
1499.2,105.7,6935.2,0.382,5.7,0.108,0.549,0.61,0.696,0.5,0.5,1,3,False,0.2,0.2,3,0.2,0.5,0.2,0.5,0.2,0.8,0.5,0.2,0.8,0.8,0.5,0.2
1046.2,70,113.1,0.394,5.6,0.124,0.67,0.465,0.732,0.8,0.5,3,3,False,0.8,0.8,3,0.2,0.5,0.5,0.8,0.8,0.2,0.2,0.5,0.8,0.8,0.2,0.2
1584.8,115.6,12377.6,0.354,5.4,0.081,0.571,0.628,0.693,0.2,0.8,1,2,False,0.5,0.5,2,0.8,0.8,0.2,0.8,0.5,0.8,0.8,0.2,0.8,0.2,0.2,0.8
1331,110.1,8465.4,0.365,6.9,0.107,0.55,0.425,0.641,0.8,0.2,3,1,True,0.2,0.5,1,0.5,0.8,0.5,0.8,0.5,0.8,0.2,0.8,0.2,0.8,0.5,0.8
1366.9,89.5,1519.9,0.312,6.2,0.088,0.67,0.452,0.638,0.2,0.2,3,2,False,0.8,0.8,3,0.8,0.8,0.8,0.5,0.5,0.2,0.8,0.2,0.8,0.5,0.8,0.8
1769.4,121.2,12816.8,0.367,7.1,0.109,0.506,0.517,0.614,0.8,0.2,1,1,False,0.2,0.2,3,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.8,0.2,0.8
1205.3,81.5,503.6,0.337,5.5,0.099,0.687,0.491,0.683,0.2,0.5,3,3,False,0.8,0.2,1,0.5,0.2,0.2,0.5,0.8,0.8,0.2,0.2,0.8,0.8,0.8,0.2
1643.6,116,11825.1,0.352,5.5,0.094,0.559,0.617,0.706,0.2,0.2,1,3,False,0.8,0.8,1,0.2,0.8,0.8,0.8,0.2,0.5,0.2,0.2,0.2,0.8,0.8,0.2
1253.9,101,4656.9,0.394,6.4,0.118,0.55,0.478,0.693,0.8,0.2,2,2,True,0.5,0.5,1,0.2,0.5,0.5,0.8,0.8,0.2,0.8,0.2,0.5,0.2,0.5,0.8
1537.4,111.7,8465.6,0.318,6.3,0.086,0.634,0.415,0.608,0.2,0.8,2,1,False,0.8,0.2,3,0.5,0.2,0.8,0.8,0.2,0.2,0.2,0.8,0.8,0.2,0.5,0.5
1470.2,99.6,6186.9,0.343,6.8,0.1,0.614,0.405,0.59,0.5,0.5,2,1,False,0.5,0.2,2,0.2,0.8,0.5,0.5,0.5,0.2,0.2,0.5,0.2,0.8,0.5,0.5
1268.4,85.2,1410.2,0.327,5.7,0.089,0.682,0.478,0.677,0.2,0.2,3,2,False,0.2,0.8,3,0.2,0.2,0.2,0.5,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.8
2380.2,217.9,267005.5,0.322,6.5,0.077,0.417,0.574,0.601,0.2,0.2,1,1,True,0.8,0.2,3,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.5,0.8,0.5,0.2,0.2
1485.2,94.7,2863.6,0.331,7.1,0.111,0.602,0.35,0.564,0.5,0.2,3,1,False,0.8,0.2,3,0.2,0.5,0.8,0.2,0.8,0.2,0.2,0.5,0.8,0.8,0.8,0.8
1193.1,76,682.9,0.371,6.7,0.125,0.635,0.416,0.619,0.8,0.2,3,2,False,0.2,0.8,1,0.8,0.8,0.8,0.2,0.8,0.2,0.2,0.2,0.8,0.8,0.5,0.2
1999.1,142.5,43707,0.324,6.5,0.087,0.533,0.539,0.599,0.2,0.2,1,1,False,0.8,0.8,2,0.8,0.2,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.5,0.8,0.5
2359,204.1,209610,0.311,7.1,0.077,0.453,0.491,0.526,0.2,0.2,1,1,True,0.2,0.2,1,0.2,0.8,0.2,0.2,0.8,0.2,0.2,0.5,0.8,0.5,0.2,0.8
1669,116,13896.8,0.35,5.6,0.094,0.556,0.614,0.677,0.2,0.2,1,3,False,0.2,0.8,1,0.2,0.8,0.5,0.5,0.8,0.8,0.8,0.2,0.2,0.8,0.2,0.5
1368.7,98.8,3160.2,0.419,5.3,0.135,0.54,0.593,0.759,0.8,0.5,1,3,False,0.2,0.8,3,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.8,0.2,0.2,0.2,0.2
