Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (MBSE),T_I (MBSE),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab,T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation)
1006.4,82.6,479,0.429,6.4,0.222,0.537,0.493,0.695,0.8,0.8,3,3,True,0.8,0.8,1,0.8,0.2,0.8,0.2,0.8,0.8,0.5,0.5,0.8,0.2,0.8,0.8
1198.2,84.5,946,0.334,5.2,0.084,0.71,0.509,0.722,0.2,0.8,3,2,False,0.2,0.5,2,0.8,0.8,0.2,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.2
1111.1,76,176.6,0.376,6.1,0.109,0.663,0.435,0.673,0.8,0.8,3,2,False,0.8,0.2,2,0.8,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.5,0.8,0.2
1576.7,128.2,22453.9,0.403,6.5,0.119,0.46,0.583,0.648,0.8,0.2,1,2,True,0.2,0.8,1,0.5,0.2,0.8,0.2,0.5,0.8,0.8,0.5,0.2,0.5,0.2,0.5
1080.4,72.7,184.9,0.387,6,0.12,0.665,0.444,0.658,0.8,0.8,3,3,False,0.2,0.5,3,0.8,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.8
1824.4,152.4,52977.8,0.39,8.1,0.168,0.367,0.497,0.575,0.8,0.2,1,1,True,0.8,0.8,1,0.8,0.8,0.8,0.2,0.8,0.2,0.8,0.5,0.8,0.2,0.8,0.5
1846.1,163,80154.2,0.376,6.1,0.099,0.442,0.647,0.64,0.5,0.8,1,2,True,0.8,0.5,3,0.5,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.2,0.5
1752.9,155.2,61279.3,0.382,5.7,0.097,0.443,0.676,0.711,0.5,0.5,1,3,True,0.2,0.5,3,0.8,0.8,0.2,0.8,0.2,0.2,0.2,0.2,0.5,0.8,0.8,0.5
1669.2,113,10562.3,0.299,7,0.091,0.611,0.326,0.531,0.2,0.5,3,1,False,0.2,0.2,2,0.5,0.5,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.5,0.8
1432.5,91.2,3017.1,0.351,7.2,0.137,0.588,0.404,0.585,0.8,0.2,2,1,False,0.8,0.8,1,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.5,0.8
1391.2,123.5,15996,0.423,6.1,0.194,0.416,0.622,0.738,0.8,0.8,1,3,True,0.8,0.2,1,0.2,0.5,0.8,0.8,0.2,0.5,0.2,0.2,0.8,0.2,0.2,0.8
1196.4,78.1,583,0.365,6.5,0.112,0.647,0.415,0.664,0.8,0.2,3,2,False,0.5,0.5,2,0.8,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.5,0.2,0.8,0.5
1519.9,111.1,10005.1,0.371,5,0.093,0.565,0.625,0.744,0.2,0.5,1,3,False,0.8,0.8,1,0.2,0.8,0.8,0.8,0.8,0.8,0.2,0.8,0.8,0.2,0.5,0.5
1445.1,104.5,5341.6,0.383,5.4,0.098,0.563,0.628,0.728,0.5,0.8,1,3,False,0.5,0.5,1,0.5,0.5,0.2,0.8,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.2
1391.3,112.7,10124.7,0.361,6.9,0.118,0.56,0.416,0.589,0.5,0.5,3,1,True,0.2,0.8,2,0.2,0.8,0.8,0.5,0.8,0.5,0.8,0.2,0.8,0.8,0.2,0.8
1199.5,80.7,1171.5,0.351,5.9,0.099,0.668,0.462,0.706,0.5,0.2,3,2,False,0.2,0.8,3,0.2,0.2,0.5,0.8,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.2
1755.6,124.1,16269.7,0.333,6,0.079,0.556,0.604,0.616,0.2,0.5,1,2,False,0.2,0.2,3,0.5,0.2,0.8,0.2,0.8,0.8,0.2,0.5,0.2,0.8,0.2,0.2
1112.3,91.6,1634,0.397,6.3,0.173,0.523,0.529,0.754,0.5,0.2,3,3,True,0.8,0.5,3,0.2,0.5,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.2,0.8
1578.8,109.1,9085.5,0.376,5.9,0.103,0.536,0.583,0.673,0.5,0.2,1,3,False,0.5,0.2,1,0.5,0.5,0.8,0.2,0.8,0.8,0.8,0.8,0.2,0.2,0.8,0.8
1449,125.4,21112.4,0.377,7.4,0.111,0.522,0.326,0.574,0.8,0.8,3,1,True,0.5,0.2,1,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.2,0.2,0.5,0.8,0.2
1675.9,144.3,42112.3,0.32,6.5,0.09,0.542,0.501,0.608,0.2,0.5,2,1,True,0.5,0.8,3,0.2,0.2,0.8,0.8,0.2,0.8,0.8,0.5,0.2,0.5,0.5,0.8
1585,115.4,8991.4,0.356,5.4,0.091,0.563,0.615,0.659,0.2,0.8,1,3,False,0.2,0.8,3,0.8,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.8,0.2,0.8,0.5
1604.2,114.2,11499.8,0.374,6.1,0.096,0.54,0.571,0.651,0.5,0.5,1,2,False,0.5,0.8,3,0.5,0.2,0.5,0.2,0.8,0.5,0.5,0.8,0.8,0.2,0.2,0.8
1619.9,113,9859,0.304,6.6,0.082,0.635,0.418,0.577,0.2,0.5,2,1,False,0.2,0.5,1,0.8,0.5,0.2,0.5,0.2,0.2,0.8,0.8,0.2,0.8,0.8,0.5
1454.4,126.8,20315.4,0.353,6.9,0.098,0.556,0.402,0.6,0.5,0.8,3,1,True,0.2,0.8,3,0.2,0.2,0.2,0.2,0.5,0.8,0.2,0.8,0.8,0.2,0.8,0.8
1740.4,122.9,14943.4,0.374,6.5,0.099,0.516,0.501,0.602,0.5,0.5,1,1,False,0.2,0.2,3,0.2,0.8,0.2,0.5,0.2,0.5,0.8,0.5,0.5,0.2,0.8,0.5
1537.7,105.8,4691.6,0.297,6.6,0.077,0.642,0.394,0.606,0.2,0.2,3,1,False,0.5,0.2,1,0.2,0.2,0.8,0.8,0.2,0.8,0.5,0.5,0.8,0.5,0.2,0.8
1167.1,78.3,1041.5,0.376,5.9,0.11,0.649,0.505,0.741,0.8,0.2,2,3,False,0.5,0.2,2,0.2,0.8,0.8,0.8,0.5,0.5,0.2,0.5,0.5,0.8,0.2,0.2
1706.3,122.8,19002.9,0.335,5.9,0.079,0.57,0.627,0.622,0.2,0.8,1,2,False,0.5,0.5,1,0.2,0.5,0.8,0.2,0.2,0.8,0.2,0.5,0.5,0.8,0.8,0.8
1054.9,71,225,0.391,5.7,0.123,0.668,0.446,0.704,0.8,0.8,3,3,False,0.8,0.2,3,0.2,0.8,0.8,0.2,0.2,0.8,0.2,0.8,0.8,0.2,0.2,0.2
1211.3,80.4,514.7,0.357,6.2,0.103,0.655,0.42,0.63,0.5,0.5,3,2,False,0.2,0.2,3,0.8,0.2,0.8,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5
2147.3,151.6,60176.3,0.31,6.9,0.085,0.524,0.509,0.565,0.2,0.2,1,1,False,0.2,0.2,1,0.5,0.2,0.2,0.5,0.5,0.8,0.5,0.2,0.5,0.2,0.5,0.8
1153.5,93.3,2824.9,0.39,6.4,0.124,0.593,0.463,0.648,0.8,0.8,3,2,True,0.2,0.5,1,0.5,0.2,0.2,0.2,0.2,0.8,0.5,0.2,0.8,0.8,0.2,0.5
1134.4,77.1,643.3,0.392,6,0.135,0.638,0.468,0.674,0.8,0.8,2,3,False,0.5,0.8,2,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.5,0.5
1331.2,91.4,2355.3,0.329,5.6,0.091,0.672,0.503,0.655,0.2,0.8,2,3,False,0.8,0.8,3,0.2,0.8,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.2,0.5,0.5
1084.4,74.8,171.3,0.389,5.7,0.129,0.665,0.447,0.734,0.8,0.5,3,2,False,0.8,0.5,2,0.8,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.8
1571,117.6,13963.7,0.409,6.4,0.134,0.518,0.51,0.628,0.8,0.8,1,1,False,0.8,0.5,3,0.2,0.2,0.5,0.8,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.8
1925.3,146.1,48192.2,0.332,6.3,0.084,0.539,0.527,0.577,0.2,0.8,1,1,False,0.8,0.2,1,0.2,0.2,0.5,0.5,0.2,0.5,0.5,0.5,0.8,0.2,0.2,0.2
1272.9,92.5,1896.8,0.369,6.7,0.113,0.626,0.436,0.638,0.8,0.8,2,1,False,0.8,0.2,3,0.5,0.2,0.8,0.8,0.2,0.8,0.2,0.5,0.5,0.8,0.8,0.2
1327.5,89.5,1628.3,0.375,6.8,0.117,0.601,0.321,0.607,0.8,0.5,3,1,False,0.5,0.8,2,0.8,0.2,0.2,0.5,0.8,0.2,0.2,0.8,0.2,0.2,0.8,0.8
1380.3,100.1,5495.8,0.415,5.5,0.132,0.546,0.596,0.729,0.8,0.8,1,3,False,0.2,0.8,2,0.8,0.8,0.8,0.8,0.5,0.2,0.5,0.2,0.8,0.2,0.8,0.2
1638.8,118.5,11883.9,0.346,5.6,0.087,0.567,0.619,0.643,0.2,0.8,1,3,False,0.8,0.2,1,0.8,0.5,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.5,0.8,0.5
1651.3,120.5,14159.4,0.341,5.7,0.081,0.572,0.628,0.645,0.2,0.8,1,3,False,0.8,0.2,3,0.5,0.2,0.5,0.2,0.8,0.2,0.2,0.8,0.5,0.8,0.5,0.8
1563.1,106.1,7393.2,0.289,6.7,0.071,0.659,0.423,0.588,0.2,0.2,3,1,False,0.8,0.8,2,0.2,0.8,0.2,0.8,0.8,0.8,0.2,0.2,0.2,0.8,0.8,0.8
1236.1,83.9,301.2,0.344,5.3,0.095,0.665,0.523,0.698,0.2,0.5,2,3,False,0.8,0.2,1,0.5,0.2,0.8,0.5,0.8,0.5,0.8,0.5,0.8,0.8,0.8,0.8
1258.7,104.6,5271.9,0.388,6.3,0.112,0.548,0.547,0.678,0.8,0.8,2,2,True,0.8,0.8,3,0.5,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.5,0.8
1537.8,129.6,22627.4,0.34,8.3,0.16,0.434,0.386,0.518,0.2,0.2,3,1,True,0.8,0.5,1,0.8,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.8,0.8,0.2,0.8
1602.9,115.2,14243.3,0.296,6.7,0.082,0.646,0.357,0.569,0.2,0.8,3,1,False,0.8,0.8,1,0.8,0.2,0.8,0.2,0.2,0.8,0.8,0.8,0.2,0.2,0.2,0.2
1452.8,125.6,19175.4,0.426,5.2,0.116,0.472,0.668,0.763,0.8,0.8,1,3,True,0.5,0.8,2,0.2,0.8,0.2,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.2,0.8
1155.3,79.5,674.8,0.365,5.7,0.106,0.681,0.45,0.699,0.5,0.8,3,2,False,0.2,0.8,3,0.8,0.8,0.2,0.8,0.8,0.2,0.5,0.2,0.2,0.2,0.2,0.5
1177.3,79.8,430.9,0.371,5.6,0.099,0.651,0.49,0.718,0.5,0.5,2,3,False,0.5,0.5,2,0.2,0.8,0.2,0.8,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.5
1568.7,105.1,7088.3,0.301,6.5,0.092,0.646,0.392,0.579,0.2,0.2,3,1,False,0.2,0.2,1,0.5,0.8,0.5,0.5,0.5,0.5,0.2,0.8,0.2,0.8,0.5,0.5
1246.1,83.9,923.9,0.326,5.9,0.099,0.691,0.493,0.638,0.2,0.8,3,3,False,0.2,0.2,3,0.5,0.8,0.5,0.2,0.2,0.5,0.2,0.2,0.8,0.8,0.2,0.2
1941.6,168.7,87153.4,0.346,5.7,0.085,0.448,0.684,0.689,0.2,0.2,1,3,True,0.8,0.8,3,0.8,0.2,0.8,0.8,0.2,0.2,0.8,0.2,0.5,0.8,0.2,0.8
1770,125.8,19471.5,0.329,6,0.075,0.564,0.613,0.625,0.2,0.5,1,2,False,0.2,0.8,3,0.8,0.8,0.2,0.2,0.8,0.5,0.2,0.8,0.5,0.8,0.5,0.8
1241,82,901.7,0.332,5.7,0.097,0.685,0.491,0.695,0.2,0.2,3,3,False,0.8,0.8,1,0.5,0.8,0.8,0.8,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.8
2030.4,183.4,138860.5,0.376,6.5,0.097,0.42,0.573,0.627,0.5,0.5,1,1,True,0.8,0.5,3,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.2,0.8,0.8
1394.8,93.8,2328.8,0.319,5.9,0.082,0.659,0.488,0.675,0.2,0.2,2,3,False,0.2,0.5,3,0.2,0.2,0.8,0.5,0.8,0.5,0.5,0.2,0.2,0.2,0.5,0.8
1392.7,112.6,7859.8,0.392,8.3,0.186,0.444,0.35,0.565,0.8,0.2,3,1,True,0.8,0.8,2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.8,0.5,0.2,0.5
1711.2,123.4,16730.5,0.384,7.1,0.103,0.508,0.484,0.571,0.8,0.8,1,1,False,0.2,0.8,3,0.2,0.2,0.8,0.2,0.8,0.2,0.2,0.2,0.8,0.5,0.8,0.5
1111.2,76,829.5,0.377,6,0.116,0.668,0.442,0.676,0.8,0.8,3,2,False,0.2,0.2,3,0.2,0.5,0.5,0.2,0.2,0.8,0.8,0.8,0.5,0.5,0.8,0.5
1305.6,103.5,5028.7,0.334,5.6,0.092,0.623,0.514,0.717,0.2,0.2,3,3,True,0.2,0.8,1,0.2,0.2,0.8,0.8,0.8,0.8,0.2,0.2,0.8,0.2,0.8,0.2
1557,115.9,11642.4,0.39,6.5,0.13,0.537,0.567,0.646,0.8,0.8,1,1,False,0.2,0.2,2,0.8,0.2,0.8,0.8,0.5,0.8,0.5,0.8,0.8,0.8,0.8,0.8
1754.3,155,70556.5,0.388,5.8,0.105,0.442,0.666,0.66,0.5,0.8,1,3,True,0.2,0.2,3,0.5,0.5,0.2,0.2,0.5,0.8,0.8,0.2,0.2,0.8,0.2,0.8
1785.7,126.1,20400.2,0.36,6.5,0.101,0.518,0.529,0.636,0.5,0.2,1,1,False,0.8,0.2,2,0.5,0.5,0.8,0.8,0.8,0.8,0.2,0.8,0.2,0.2,0.2,0.8
1389.4,112.4,9366,0.327,6.6,0.097,0.576,0.475,0.602,0.2,0.5,3,2,True,0.5,0.5,1,0.5,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.5,0.2,0.2,0.8
2050.3,144.3,50261.8,0.324,6.6,0.09,0.521,0.512,0.569,0.2,0.2,1,1,False,0.8,0.2,3,0.2,0.8,0.2,0.5,0.2,0.8,0.2,0.2,0.5,0.2,0.5,0.5
1226.4,83.6,691.8,0.373,6.8,0.137,0.627,0.4,0.623,0.8,0.5,3,1,False,0.2,0.2,3,0.8,0.5,0.2,0.8,0.8,0.8,0.2,0.2,0.5,0.8,0.5,0.8
1882.5,162,76893.6,0.302,6.9,0.086,0.523,0.383,0.54,0.2,0.2,2,1,True,0.2,0.2,1,0.2,0.2,0.8,0.2,0.2,0.5,0.5,0.5,0.2,0.8,0.5,0.2
1083,70.8,235.6,0.395,5.8,0.133,0.652,0.435,0.709,0.8,0.2,3,3,False,0.8,0.2,1,0.5,0.8,0.8,0.5,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8
1553.4,108.1,7576.1,0.31,6.7,0.087,0.632,0.352,0.556,0.2,0.8,3,1,False,0.8,0.2,2,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.2,0.8,0.8
1465.2,106.2,7931.3,0.301,6.6,0.083,0.676,0.434,0.597,0.2,0.8,3,1,False,0.2,0.8,3,0.2,0.5,0.8,0.8,0.8,0.8,0.2,0.2,0.8,0.8,0.2,0.2
1175.5,77.7,716.7,0.383,6.1,0.117,0.628,0.462,0.699,0.8,0.2,2,3,False,0.8,0.8,1,0.8,0.2,0.2,0.5,0.8,0.8,0.8,0.2,0.5,0.2,0.2,0.2
1303.2,89.6,2083.1,0.362,6.9,0.097,0.63,0.35,0.61,0.8,0.8,3,1,False,0.2,0.8,1,0.2,0.5,0.5,0.5,0.2,0.2,0.2,0.5,0.2,0.5,0.2,0.8
1946.3,173.5,102515.8,0.352,5.4,0.085,0.449,0.662,0.693,0.2,0.5,1,3,True,0.2,0.2,3,0.2,0.8,0.8,0.5,0.2,0.2,0.5,0.8,0.5,0.2,0.8,0.2
1420.9,111.2,9775.9,0.322,6,0.089,0.608,0.519,0.629,0.2,0.2,3,2,True,0.2,0.8,3,0.5,0.5,0.5,0.2,0.8,0.8,0.8,0.8,0.2,0.8,0.8,0.2
1745.3,113.9,11806.2,0.282,7.2,0.084,0.628,0.357,0.52,0.2,0.2,3,1,False,0.8,0.5,3,0.5,0.8,0.8,0.2,0.2,0.2,0.5,0.2,0.2,0.8,0.2,0.8
1513.5,105.8,6880.8,0.397,6,0.119,0.53,0.574,0.709,0.8,0.2,1,3,False,0.2,0.2,3,0.2,0.2,0.2,0.5,0.8,0.2,0.2,0.8,0.8,0.2,0.5,0.8
1462.1,120.8,13632.1,0.419,5.8,0.124,0.469,0.608,0.727,0.8,0.2,1,2,True,0.2,0.8,1,0.5,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.8,0.5,0.5,0.2
1482,104.4,6339.6,0.396,6.3,0.112,0.54,0.58,0.637,0.8,0.8,1,2,False,0.2,0.2,1,0.5,0.5,0.2,0.2,0.8,0.2,0.8,0.2,0.5,0.8,0.2,0.8
1380,96.8,2009.2,0.421,5.5,0.145,0.532,0.585,0.712,0.8,0.5,1,3,False,0.2,0.8,3,0.8,0.5,0.2,0.5,0.2,0.5,0.8,0.5,0.5,0.5,0.8,0.2
1634.7,143.4,36460.9,0.365,5,0.092,0.514,0.633,0.74,0.2,0.8,1,3,True,0.2,0.2,1,0.5,0.2,0.2,0.8,0.8,0.5,0.8,0.8,0.2,0.2,0.5,0.5
1258.7,103.7,4655.7,0.366,7,0.171,0.488,0.497,0.632,0.2,0.2,3,3,True,0.8,0.5,3,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.5,0.2,0.2,0.2
1625.7,135.7,30572.9,0.323,6.4,0.092,0.554,0.45,0.608,0.2,0.2,2,1,True,0.2,0.8,1,0.8,0.2,0.8,0.8,0.5,0.5,0.2,0.8,0.8,0.5,0.8,0.8
1953.6,147.4,52372.2,0.326,6.5,0.077,0.549,0.537,0.589,0.2,0.8,1,1,False,0.8,0.2,1,0.8,0.8,0.2,0.8,0.8,0.2,0.2,0.2,0.5,0.2,0.8,0.2
1184.2,81.3,789,0.352,5.9,0.094,0.676,0.446,0.675,0.5,0.8,3,3,False,0.2,0.2,1,0.2,0.2,0.2,0.2,0.5,0.2,0.5,0.8,0.8,0.2,0.2,0.2
1141.6,75.5,359.3,0.361,5.8,0.106,0.675,0.476,0.674,0.5,0.5,3,3,False,0.2,0.2,2,0.2,0.8,0.2,0.2,0.8,0.5,0.2,0.8,0.8,0.8,0.2,0.8
1580.4,119.2,15748.3,0.362,5.2,0.094,0.567,0.611,0.701,0.2,0.8,1,2,False,0.8,0.8,3,0.2,0.2,0.8,0.8,0.8,0.2,0.8,0.8,0.8,0.2,0.5,0.2
1629.2,114.8,11414.1,0.29,7,0.081,0.652,0.364,0.529,0.2,0.8,3,1,False,0.8,0.8,1,0.5,0.2,0.8,0.2,0.8,0.2,0.5,0.2,0.2,0.8,0.2,0.5
1141.9,76.6,350.5,0.359,5.6,0.105,0.686,0.483,0.711,0.5,0.5,3,3,False,0.5,0.8,3,0.5,0.8,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.8,0.8,0.5
1568.8,107.2,5214.5,0.377,6,0.105,0.537,0.587,0.658,0.5,0.2,1,3,False,0.2,0.5,3,0.2,0.8,0.2,0.2,0.2,0.5,0.5,0.5,0.8,0.5,0.8,0.8
1559.3,108.5,5472.2,0.397,6.5,0.134,0.522,0.555,0.633,0.8,0.5,1,1,False,0.2,0.2,3,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.2,0.8
1529.8,108.9,10951.1,0.311,6.4,0.09,0.656,0.45,0.586,0.2,0.8,2,1,False,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.8,0.2,0.8,0.5,0.8
1891.5,174.6,95863.1,0.349,7.5,0.161,0.363,0.552,0.582,0.2,0.5,1,1,True,0.8,0.2,1,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.2,0.2,0.8,0.2,0.5
1439.9,101,4485.9,0.4,5.7,0.113,0.541,0.603,0.755,0.8,0.2,1,3,False,0.8,0.2,1,0.8,0.8,0.2,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.8,0.5
1125.3,76.1,132.5,0.359,5.5,0.099,0.686,0.499,0.75,0.5,0.2,3,3,False,0.2,0.2,3,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.2
1207.2,102.4,3993.2,0.38,6.3,0.165,0.496,0.542,0.679,0.2,0.5,2,3,True,0.8,0.2,1,0.8,0.8,0.5,0.5,0.8,0.2,0.8,0.5,0.2,0.8,0.2,0.2
1881.1,164.2,84424.5,0.382,7.5,0.1,0.423,0.481,0.579,0.8,0.5,1,1,True,0.5,0.2,1,0.8,0.8,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.2,0.2,0.8
1113.1,92.1,1920.9,0.406,7,0.182,0.51,0.493,0.662,0.8,0.5,3,3,True,0.8,0.2,3,0.8,0.5,0.8,0.2,0.2,0.8,0.5,0.2,0.2,0.8,0.5,0.2
1118.4,77.5,458.6,0.388,5.7,0.129,0.657,0.493,0.731,0.8,0.8,2,3,False,0.5,0.2,1,0.8,0.5,0.5,0.8,0.2,0.2,0.2,0.2,0.2,0.5,0.8,0.2
1294.4,106.3,7245.2,0.386,5.7,0.12,0.539,0.541,0.712,0.5,0.2,2,3,True,0.5,0.2,3,0.8,0.5,0.8,0.5,0.8,0.8,0.2,0.5,0.8,0.5,0.8,0.8
1471.4,102.9,4864.5,0.401,5.9,0.132,0.533,0.585,0.728,0.8,0.2,1,3,False,0.8,0.2,3,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.2,0.8,0.2,0.8,0.8
1747.3,152.7,52779.8,0.311,6.7,0.077,0.531,0.35,0.585,0.2,0.2,3,1,True,0.2,0.2,2,0.8,0.2,0.5,0.8,0.5,0.2,0.5,0.2,0.8,0.2,0.2,0.5
2427.6,214.8,263992.2,0.315,7,0.081,0.432,0.584,0.518,0.2,0.5,1,1,True,0.5,0.8,3,0.8,0.5,0.8,0.2,0.5,0.2,0.2,0.2,0.8,0.8,0.2,0.2
1962.8,144.7,44165.6,0.326,6.6,0.089,0.536,0.524,0.544,0.2,0.8,1,1,False,0.8,0.5,2,0.8,0.5,0.8,0.2,0.2,0.8,0.5,0.2,0.8,0.2,0.2,0.8
1604.7,135.3,33476.3,0.354,7.2,0.102,0.501,0.337,0.575,0.5,0.2,3,1,True,0.2,0.2,3,0.8,0.8,0.5,0.2,0.8,0.8,0.5,0.2,0.2,0.2,0.2,0.2
1409.4,95.1,2438.3,0.321,6.8,0.09,0.642,0.416,0.625,0.5,0.2,3,1,False,0.8,0.8,1,0.5,0.5,0.8,0.8,0.2,0.8,0.8,0.5,0.2,0.8,0.2,0.8
1228.6,85.2,1042.4,0.36,5.8,0.095,0.655,0.481,0.693,0.5,0.8,2,2,False,0.8,0.2,1,0.2,0.5,0.2,0.5,0.8,0.2,0.2,0.8,0.8,0.2,0.5,0.8
1433,99.9,4694.9,0.337,7,0.101,0.626,0.346,0.563,0.5,0.8,3,1,False,0.8,0.8,3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.8,0.8,0.2
1852.7,124.3,17722.8,0.36,6.8,0.111,0.5,0.495,0.571,0.5,0.2,1,1,False,0.8,0.8,1,0.5,0.8,0.5,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1487.4,96.6,3305.7,0.355,7.5,0.109,0.571,0.289,0.567,0.8,0.2,3,1,False,0.8,0.2,2,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2
1084.1,74.5,238.7,0.401,5.5,0.128,0.657,0.504,0.727,0.8,0.8,2,2,False,0.8,0.8,1,0.8,0.8,0.5,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.8
1518,104.6,5997.1,0.392,6.1,0.12,0.533,0.583,0.701,0.8,0.2,1,2,False,0.2,0.8,2,0.5,0.8,0.2,0.8,0.8,0.8,0.2,0.2,0.2,0.5,0.5,0.2
1288.4,115.3,11057.4,0.397,7.1,0.182,0.481,0.459,0.64,0.5,0.8,2,1,True,0.8,0.5,1,0.5,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.5,0.8,0.2
1054,71.5,307.9,0.384,5.7,0.112,0.673,0.477,0.73,0.8,0.5,3,3,False,0.2,0.5,1,0.5,0.2,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.8,0.8,0.5
1458,99.7,4594.1,0.329,6.9,0.092,0.618,0.358,0.631,0.5,0.2,3,1,False,0.2,0.8,3,0.5,0.2,0.2,0.8,0.8,0.8,0.8,0.5,0.8,0.2,0.5,0.2
1356.1,93.7,3007.9,0.365,7.1,0.118,0.601,0.392,0.586,0.8,0.8,2,1,False,0.8,0.2,1,0.8,0.5,0.2,0.2,0.5,0.8,0.8,0.2,0.8,0.8,0.8,0.2
2089.8,156,65659,0.313,6.9,0.075,0.533,0.508,0.53,0.2,0.8,1,1,False,0.2,0.5,3,0.8,0.2,0.2,0.2,0.5,0.5,0.2,0.2,0.8,0.2,0.2,0.2
1626.9,106,5973.9,0.33,7.2,0.092,0.577,0.341,0.567,0.5,0.2,2,1,False,0.8,0.2,1,0.8,0.8,0.5,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.8,0.2
1317.7,110.7,9747.6,0.375,5.9,0.101,0.565,0.485,0.665,0.5,0.8,2,2,True,0.2,0.2,2,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.5,0.5,0.2,0.8,0.2
1389.1,99.2,3262.2,0.407,5.6,0.13,0.551,0.607,0.712,0.8,0.8,1,3,False,0.2,0.8,1,0.5,0.8,0.8,0.5,0.8,0.8,0.2,0.2,0.5,0.5,0.2,0.8
1298.3,90.4,2787.3,0.37,6.9,0.116,0.611,0.334,0.597,0.8,0.8,3,1,False,0.5,0.2,3,0.5,0.2,0.8,0.2,0.8,0.8,0.8,0.5,0.2,0.2,0.2,0.8
1233.6,103,2809.9,0.379,5.2,0.094,0.581,0.597,0.763,0.5,0.8,2,3,True,0.5,0.8,3,0.8,0.2,0.2,0.8,0.5,0.8,0.2,0.8,0.5,0.5,0.2,0.2
1139,75.7,296.1,0.378,6.3,0.126,0.647,0.426,0.648,0.8,0.5,3,2,False,0.5,0.8,3,0.2,0.2,0.5,0.2,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.2
2085.6,187.2,145909.4,0.327,6.4,0.091,0.479,0.618,0.598,0.2,0.8,1,1,True,0.2,0.8,2,0.2,0.8,0.8,0.8,0.8,0.8,0.5,0.2,0.5,0.5,0.2,0.2
1352.8,89.1,1260.8,0.327,6,0.096,0.645,0.499,0.631,0.2,0.2,2,3,False,0.5,0.8,2,0.5,0.5,0.2,0.2,0.8,0.2,0.5,0.5,0.8,0.8,0.8,0.5
