Name,DOE,Number,Mean Cost,Mean Lead Time,Mean Quality,Risk,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
DOE4-122,DOE4,122,1198.3,98,0.807,9312.2,0.307,8.5,0.116,0.702,0.433,0.632
DOE4-114,DOE4,114,2117.1,179.9,0.799,175170.1,0.247,8.7,0.069,0.608,0.523,0.546
DOE4-113,DOE4,113,1741.4,145.8,0.812,64547.4,0.229,9.3,0.065,0.696,0.346,0.529
DOE4-170,DOE4,170,1297.9,106.7,0.81,11444.8,0.288,8,0.089,0.703,0.493,0.692
DOE4-184,DOE4,184,1996,164.9,0.812,118863,0.263,8.2,0.067,0.604,0.534,0.6
DOE4-148,DOE4,148,1919.8,162,0.808,102622.6,0.246,7.9,0.063,0.652,0.632,0.616
DOE4-183,DOE4,183,2004.8,197,0.804,223857.9,0.256,7.8,0.07,0.56,0.674,0.633
DOE4-177,DOE4,177,1509.4,124.3,0.809,29810.7,0.253,7.8,0.074,0.721,0.49,0.66
DOE4-141,DOE4,141,1773.8,149.4,0.804,89340,0.266,7.4,0.075,0.639,0.621,0.658
DOE4-179,DOE4,179,2028.9,171.7,0.808,143094.4,0.266,9.4,0.088,0.585,0.492,0.509
DOE4-146,DOE4,146,1521.6,122.3,0.802,28274.6,0.262,9.2,0.111,0.672,0.389,0.597
DOE4-112,DOE4,112,1392.4,112.3,0.805,16894.3,0.255,7.3,0.072,0.752,0.49,0.674
DOE4-115,DOE4,115,2013.4,164.5,0.804,128403.6,0.269,8.7,0.081,0.585,0.496,0.569
DOE4-123,DOE4,123,1847.7,174.3,0.812,186349.5,0.273,8.1,0.062,0.579,0.602,0.605
DOE4-124,DOE4,124,1207.9,96.9,0.82,6798,0.3,9,0.099,0.706,0.444,0.61
DOE4-139,DOE4,139,1627.7,155.1,0.815,86739.2,0.272,10.9,0.083,0.58,0.322,0.502
DOE4-106,DOE4,106,1531.2,119.6,0.814,22578.6,0.265,9.3,0.082,0.674,0.36,0.579
DOE4-101,DOE4,101,1819.5,178.9,0.807,152878.8,0.267,8.9,0.079,0.541,0.649,0.671
DOE4-108,DOE4,108,1876.3,160.7,0.806,103054.1,0.272,8.3,0.072,0.611,0.541,0.597
DOE4-137,DOE4,137,1015.5,95.3,0.82,3569.5,0.364,8.6,0.191,0.554,0.527,0.746
DOE4-130,DOE4,130,1378.9,139,0.821,45617.6,0.342,8.7,0.164,0.446,0.645,0.727
DOE4-164,DOE4,164,1252.6,100.1,0.809,7373.9,0.295,7.7,0.099,0.7,0.516,0.681
DOE4-163,DOE4,163,1739.9,139.7,0.806,58604.6,0.222,9.4,0.067,0.713,0.423,0.585
DOE4-155,DOE4,155,1090.2,87.8,0.812,3236.1,0.334,7.4,0.13,0.702,0.444,0.698
DOE4-152,DOE4,152,1271.4,121,0.81,27733.9,0.295,9.2,0.106,0.657,0.46,0.604
DOE4-131,DOE4,131,1309.7,102.6,0.809,10128.7,0.287,8.6,0.084,0.7,0.412,0.614
DOE4-109,DOE4,109,1722.2,133.1,0.81,43039.8,0.257,9.6,0.078,0.643,0.346,0.53
DOE4-136,DOE4,136,1874.3,156.5,0.799,97674.3,0.258,7.8,0.067,0.636,0.61,0.612
DOE4-100,DOE4,100,1332.8,124.7,0.809,27283.5,0.291,7.7,0.073,0.66,0.505,0.697
DOE4-138,DOE4,138,1808.1,150.9,0.808,144433.3,0.27,7.8,0.064,0.63,0.6,0.643
DOE4-107,DOE4,107,1750.2,162.8,0.807,113251.9,0.261,10.1,0.082,0.593,0.358,0.514
DOE4-153,DOE4,153,1274.6,104.5,0.807,11129.5,0.298,8.5,0.106,0.692,0.471,0.633
DOE4-154,DOE4,154,1458.2,119,0.806,23030.2,0.255,7.6,0.072,0.73,0.497,0.64
DOE4-162,DOE4,162,1802.7,152.9,0.803,86964.1,0.263,7.4,0.076,0.646,0.629,0.637
DOE4-165,DOE4,165,1389.2,129.6,0.813,35795.4,0.285,8.9,0.085,0.621,0.54,0.641
DOE4-202,DOE4,202,1091,101,0.825,6486.2,0.354,9.4,0.184,0.527,0.481,0.637
DOE4-205,DOE4,205,1216.7,98.5,0.803,7456.8,0.299,8.1,0.113,0.709,0.44,0.642
DOE4-233,DOE4,233,1174.9,112.8,0.83,11329.7,0.357,10.2,0.181,0.504,0.455,0.612
DOE4-234,DOE4,234,1144.8,93.2,0.816,6357.4,0.316,7.2,0.117,0.729,0.471,0.699
DOE4-260,DOE4,260,1795.8,155,0.798,85834.9,0.26,7.2,0.072,0.654,0.636,0.71
DOE4-258,DOE4,258,1482.6,113.6,0.813,20720.6,0.287,10.1,0.113,0.639,0.333,0.581
DOE4-267,DOE4,267,1472.7,137.8,0.805,47345,0.249,7.4,0.076,0.704,0.513,0.703
DOE4-251,DOE4,251,1300.4,108.2,0.814,13560.5,0.285,7,0.081,0.733,0.51,0.695
DOE4-269,DOE4,269,2109.1,171.6,0.8,142871.7,0.26,9.3,0.08,0.581,0.495,0.516
DOE4-256,DOE4,256,1268,103.9,0.806,10789.1,0.28,7.5,0.098,0.728,0.484,0.725
DOE4-235,DOE4,235,1500.2,118.8,0.814,24998.8,0.276,9.4,0.106,0.649,0.352,0.597
DOE4-232,DOE4,232,1757.6,145.5,0.813,68646.3,0.277,7.7,0.071,0.629,0.606,0.677
