Name,DOE,Number,Risk,Cost Mean,Cost Median,Cost 95confidence Lower,Cost 95confidence Upper,Cost Q25,Cost Q75,Lead Time Mean,Lead Time Median,Lead Time 95confidence Lower,Lead Time 95confidence Upper,Lead Time Q25,Lead Time Q75,Effectivness Mean,Effectivness Median,Effectivness 95confidence Lower,Effectivness 95confidence Upper,Effectivness Q25,Effectivness Q75,Average Iterations Mean,Average Iterations Median,Average Iterations 95confidence Lower,Average Iterations 95confidence Upper,Average Iterations Q25,Average Iterations Q75,First Pass Yield Mean,First Pass Yield Median,First Pass Yield 95confidence Lower,First Pass Yield 95confidence Upper,First Pass Yield Q25,First Pass Yield Q75,Rel Cost Physical Mean,Rel Cost Physical Median,Rel Cost Physical 95confidence Lower,Rel Cost Physical 95confidence Upper,Rel Cost Physical Q25,Rel Cost Physical Q75,Work Efficency Mean,Work Efficency Median,Work Efficency 95confidence Lower,Work Efficency 95confidence Upper,Work Efficency Q25,Work Efficency Q75,Average Consitency Mean,Average Consitency Median,Average Consitency 95confidence Lower,Average Consitency 95confidence Upper,Average Consitency Q25,Average Consitency Q75
DOE3-32,DOE3,32,4741.4,1551.2,1494.7,1513.4,1589,1260,1787.3,105.2,102.4,102.4,107.9,84,121.7,0.207,0.202,0.202,0.212,0.17,0.239,14.6,14.3,14.4,14.9,12.9,16.1,0.063,0.063,0.058,0.069,0.026,0.089,0.658,0.66,0.655,0.661,0.634,0.683,0.575,0.577,0.573,0.576,0.567,0.584,0.638,0.638,0.635,0.641,0.62,0.661
DOE3-33,DOE3,33,7481.3,1624.4,1575.2,1585.9,1662.8,1331.1,1861.6,111.4,106.6,108.5,114.3,89.5,128.1,0.202,0.198,0.197,0.207,0.165,0.233,14.6,14.4,14.4,14.9,13,16.1,0.056,0.051,0.052,0.061,0.025,0.089,0.649,0.651,0.646,0.651,0.628,0.669,0.6,0.599,0.599,0.601,0.592,0.608,0.636,0.638,0.634,0.639,0.618,0.654
DOE3-34,DOE3,34,4284.3,1512.4,1473,1475.1,1549.8,1240.6,1716.6,102.5,100.4,99.8,105.3,82.5,118.3,0.209,0.202,0.204,0.214,0.174,0.24,14.9,14.7,14.7,15.2,13.2,16.5,0.061,0.063,0.055,0.067,0.025,0.089,0.653,0.656,0.65,0.657,0.634,0.678,0.571,0.572,0.57,0.573,0.564,0.58,0.645,0.646,0.642,0.649,0.625,0.668
DOE3-35,DOE3,35,3899,1502.4,1454.1,1466.2,1538.6,1229.4,1707.9,102.8,100.2,100.2,105.5,83.3,118.3,0.212,0.207,0.207,0.217,0.174,0.243,14.8,14.6,14.6,15.1,13.1,16.5,0.061,0.051,0.057,0.066,0.026,0.089,0.645,0.649,0.642,0.649,0.623,0.669,0.579,0.58,0.578,0.58,0.571,0.587,0.647,0.648,0.644,0.651,0.627,0.671
DOE3-36,DOE3,36,6974.4,1589.9,1554.3,1550.4,1629.4,1286.8,1846.6,109.6,106.4,106.6,112.6,86.3,130.1,0.208,0.199,0.203,0.213,0.168,0.241,14.7,14.6,14.4,14.9,12.8,16.3,0.063,0.063,0.057,0.07,0.025,0.089,0.641,0.645,0.638,0.644,0.62,0.665,0.597,0.6,0.596,0.599,0.588,0.608,0.64,0.642,0.637,0.643,0.618,0.659
DOE3-37,DOE3,37,3129.6,1456.2,1420.9,1419.8,1492.5,1182.3,1666.1,98.2,96.3,95.6,100.9,78.9,115.6,0.216,0.207,0.211,0.221,0.177,0.249,15.5,15.3,15.2,15.7,13.8,16.9,0.066,0.063,0.059,0.073,0.025,0.089,0.635,0.641,0.631,0.639,0.61,0.664,0.579,0.58,0.578,0.58,0.572,0.586,0.66,0.661,0.656,0.663,0.637,0.684
DOE3-38,DOE3,38,3735.5,1495.2,1454.5,1458.5,1531.8,1237.3,1715.4,101.6,98.6,98.9,104.3,82.5,117.5,0.212,0.205,0.206,0.217,0.173,0.24,15.6,15.5,15.3,15.8,13.9,17,0.061,0.051,0.055,0.067,0.025,0.077,0.632,0.638,0.628,0.636,0.607,0.662,0.588,0.588,0.587,0.589,0.581,0.595,0.658,0.66,0.655,0.661,0.637,0.683
DOE3-39,DOE3,39,8285.8,1544.9,1481.3,1504,1585.9,1245.2,1748.8,106.9,102.5,103.8,110,84.3,123.2,0.213,0.207,0.208,0.218,0.177,0.248,14.6,14.2,14.4,14.9,12.8,16.2,0.062,0.063,0.057,0.067,0.025,0.089,0.632,0.634,0.629,0.635,0.61,0.656,0.599,0.6,0.598,0.6,0.59,0.609,0.643,0.646,0.64,0.646,0.626,0.664
DOE3-4,DOE3,4,5042.7,1542.1,1491.8,1505.1,1579.1,1292.7,1721.3,104,100.2,101.3,106.7,85.3,116.4,0.208,0.205,0.203,0.213,0.179,0.235,14.5,14.2,14.3,14.7,13,15.6,0.055,0.051,0.052,0.059,0.025,0.077,0.652,0.655,0.649,0.655,0.632,0.673,0.549,0.55,0.548,0.55,0.543,0.557,0.637,0.636,0.633,0.64,0.615,0.658
DOE3-40,DOE3,40,2051.9,1398.1,1355.8,1363.6,1432.6,1133.3,1600.6,93.9,90.2,91.4,96.4,75.4,108.3,0.223,0.217,0.218,0.228,0.183,0.258,15.8,15.7,15.5,16,14.1,17.2,0.063,0.063,0.057,0.069,0.025,0.089,0.615,0.621,0.611,0.62,0.588,0.648,0.584,0.584,0.583,0.585,0.577,0.593,0.666,0.666,0.663,0.669,0.647,0.69
DOE3-41,DOE3,41,3228.2,1435.2,1403.7,1399.3,1471.1,1182.4,1611.1,96.9,93.8,94.3,99.4,78.3,109.2,0.219,0.213,0.214,0.224,0.184,0.248,15.9,15.8,15.7,16.2,14.2,17.4,0.067,0.063,0.06,0.074,0.025,0.09,0.613,0.621,0.609,0.618,0.586,0.646,0.592,0.592,0.591,0.593,0.586,0.599,0.669,0.673,0.667,0.672,0.65,0.688
DOE3-42,DOE3,42,7502,1538.9,1466.3,1498,1579.9,1238.2,1775.7,106.4,101.2,103.3,109.4,83.3,124.1,0.214,0.21,0.209,0.22,0.173,0.248,15.1,14.9,14.9,15.4,13.4,16.7,0.063,0.051,0.057,0.069,0.025,0.089,0.624,0.627,0.62,0.628,0.601,0.653,0.604,0.603,0.602,0.605,0.596,0.612,0.652,0.653,0.649,0.655,0.632,0.673
DOE3-43,DOE3,43,1133.4,1306.4,1252.9,1273.3,1339.5,1063,1490.8,87.9,83.5,85.6,90.2,70.6,100.7,0.239,0.233,0.233,0.245,0.197,0.274,15.8,15.6,15.6,16,14.3,17.4,0.074,0.063,0.065,0.083,0.026,0.09,0.588,0.591,0.583,0.594,0.556,0.626,0.584,0.585,0.583,0.585,0.577,0.593,0.665,0.668,0.662,0.668,0.643,0.687
DOE3-44,DOE3,44,1520.2,1319.8,1268.1,1285,1354.5,1061.3,1497,89.2,85.8,86.7,91.6,70.3,102.6,0.24,0.231,0.234,0.246,0.197,0.277,15.9,15.7,15.7,16.1,14.4,17.2,0.08,0.057,0.07,0.09,0.025,0.101,0.582,0.587,0.576,0.587,0.55,0.624,0.592,0.592,0.591,0.593,0.585,0.599,0.668,0.67,0.665,0.671,0.648,0.691
DOE3-45,DOE3,45,8916,1542.6,1476.8,1498.9,1586.3,1238.6,1778.9,106.4,101.6,103.2,109.7,83.3,123.1,0.214,0.208,0.209,0.22,0.173,0.249,15.6,15.4,15.3,15.9,13.8,17.2,0.067,0.051,0.059,0.075,0.025,0.089,0.615,0.62,0.61,0.619,0.59,0.648,0.609,0.61,0.608,0.61,0.6,0.618,0.659,0.66,0.656,0.663,0.638,0.683
DOE3-46,DOE3,46,557.3,1207.5,1146.5,1175.9,1239.1,985.5,1413.3,81.7,77.3,79.5,84,65.6,95.7,0.26,0.258,0.253,0.267,0.208,0.298,15.7,15.5,15.4,15.9,14.2,16.9,0.084,0.063,0.072,0.097,0.025,0.101,0.558,0.562,0.551,0.565,0.513,0.607,0.58,0.581,0.579,0.581,0.573,0.588,0.653,0.654,0.65,0.656,0.633,0.671
DOE3-47,DOE3,47,903.6,1216,1186.7,1184.7,1247.4,985.8,1387.7,82.6,79.4,80.4,84.8,66.3,94.6,0.26,0.252,0.253,0.267,0.214,0.3,15.6,15.4,15.4,15.8,14,16.9,0.095,0.063,0.081,0.11,0.038,0.101,0.553,0.563,0.546,0.56,0.517,0.6,0.587,0.587,0.586,0.588,0.579,0.595,0.653,0.653,0.649,0.656,0.633,0.673
DOE3-48,DOE3,48,5237.4,1520.6,1470.1,1481.9,1559.3,1237.2,1744.8,104.1,100,101.2,106.9,83.4,121.6,0.214,0.207,0.208,0.219,0.174,0.247,15.9,15.8,15.7,16.2,14.2,17.4,0.065,0.057,0.057,0.072,0.025,0.089,0.607,0.609,0.602,0.611,0.577,0.64,0.613,0.614,0.612,0.614,0.604,0.622,0.667,0.667,0.663,0.67,0.644,0.69
DOE3-49,DOE3,49,130.1,1093.6,1040.8,1065.1,1122.2,887.4,1233,74.6,71.2,72.6,76.6,59.3,85.5,0.288,0.28,0.281,0.296,0.238,0.333,15.1,14.8,14.9,15.3,13.5,16.6,0.111,0.076,0.094,0.128,0.038,0.114,0.529,0.534,0.522,0.536,0.488,0.579,0.574,0.574,0.572,0.575,0.566,0.582,0.639,0.639,0.636,0.642,0.618,0.662
DOE3-5,DOE3,5,8650.5,1572.9,1504.5,1531.6,1614.1,1311.2,1751.9,106.9,101.5,103.8,110,87.4,120.4,0.208,0.204,0.203,0.213,0.175,0.234,14.6,14.3,14.4,14.8,13,15.8,0.059,0.051,0.054,0.063,0.025,0.089,0.646,0.647,0.643,0.65,0.628,0.668,0.557,0.558,0.556,0.559,0.551,0.565,0.638,0.638,0.635,0.641,0.618,0.659
DOE3-50,DOE3,50,526.3,1132.2,1106.3,1102.5,1161.8,923.3,1289.7,77.4,74.5,75.3,79.6,62.5,87.5,0.28,0.269,0.273,0.287,0.23,0.32,15.3,14.9,15,15.5,13.6,16.6,0.113,0.064,0.096,0.13,0.038,0.114,0.53,0.541,0.523,0.537,0.491,0.579,0.581,0.581,0.58,0.582,0.573,0.589,0.642,0.644,0.639,0.645,0.622,0.661
DOE3-51,DOE3,51,3812.1,1450.3,1406.5,1412.3,1488.2,1182.7,1663.1,99.4,95.5,96.6,102.1,80.1,114.5,0.224,0.218,0.219,0.23,0.185,0.257,16,15.8,15.7,16.2,14.4,17.4,0.064,0.051,0.057,0.071,0.025,0.089,0.588,0.597,0.582,0.593,0.558,0.625,0.614,0.614,0.613,0.615,0.606,0.622,0.671,0.672,0.668,0.674,0.651,0.692
DOE3-52,DOE3,52,287.9,1006.3,952.3,977.3,1035.4,801.6,1149.7,68.8,65.2,66.7,70.9,54.5,79.2,0.317,0.307,0.308,0.325,0.257,0.368,14.6,14.2,14.4,14.9,12.8,16.2,0.167,0.077,0.142,0.192,0.026,0.127,0.499,0.508,0.492,0.507,0.448,0.559,0.566,0.567,0.565,0.568,0.558,0.574,0.624,0.625,0.62,0.627,0.603,0.645
DOE3-53,DOE3,53,336.5,1022.2,979.3,992.8,1051.5,811,1173.6,70.2,66.8,68.1,72.4,55.5,81,0.315,0.303,0.307,0.324,0.252,0.37,14.6,14.3,14.3,14.8,13.1,15.9,0.167,0.076,0.141,0.193,0.026,0.127,0.495,0.503,0.487,0.503,0.447,0.555,0.573,0.574,0.572,0.575,0.565,0.583,0.625,0.626,0.622,0.628,0.602,0.647
DOE3-54,DOE3,54,3364.8,1383,1321.4,1345.7,1420.3,1130.8,1578,94.9,89.8,92.2,97.6,75.6,109.1,0.236,0.231,0.229,0.242,0.192,0.268,16,15.8,15.8,16.3,14.3,17.7,0.077,0.063,0.067,0.088,0.025,0.09,0.57,0.576,0.564,0.575,0.539,0.609,0.612,0.613,0.611,0.614,0.605,0.621,0.67,0.673,0.667,0.673,0.649,0.694
DOE3-55,DOE3,55,3679.7,1507.1,1470.6,1472,1542.2,1267.2,1674.9,101,97.5,98.4,103.6,83,114.6,0.206,0.2,0.201,0.21,0.175,0.231,14.4,14.3,14.2,14.7,12.8,15.6,0.06,0.063,0.055,0.064,0.025,0.089,0.681,0.681,0.678,0.683,0.663,0.698,0.586,0.586,0.585,0.587,0.578,0.594,0.635,0.634,0.632,0.638,0.613,0.658
DOE3-56,DOE3,56,4051.9,1506.8,1465.8,1470.4,1543.3,1248.7,1692.5,100.9,98.6,98.2,103.6,81.4,115.2,0.208,0.202,0.203,0.213,0.175,0.237,14.3,14.2,14.1,14.5,12.7,15.6,0.062,0.051,0.057,0.067,0.025,0.089,0.673,0.674,0.67,0.675,0.654,0.691,0.594,0.595,0.593,0.595,0.585,0.603,0.634,0.635,0.631,0.637,0.615,0.654
DOE3-57,DOE3,57,6644.2,1570.9,1524.6,1532.4,1609.4,1268,1796.1,106.9,101.7,104,109.8,84.6,123.8,0.206,0.199,0.201,0.211,0.17,0.24,14.5,14.2,14.2,14.7,12.7,15.9,0.058,0.051,0.054,0.063,0.025,0.089,0.657,0.658,0.654,0.66,0.637,0.677,0.618,0.617,0.616,0.619,0.608,0.628,0.634,0.634,0.63,0.637,0.614,0.654
DOE3-58,DOE3,58,4286.9,1513.1,1436.3,1475.5,1550.7,1262,1714.8,101.3,96.5,98.5,104,81.9,116.8,0.207,0.203,0.201,0.212,0.172,0.233,14.6,14.4,14.4,14.9,13.1,15.9,0.059,0.051,0.053,0.065,0.025,0.089,0.675,0.676,0.672,0.678,0.657,0.7,0.586,0.586,0.584,0.587,0.579,0.596,0.636,0.638,0.633,0.639,0.614,0.658
DOE3-59,DOE3,59,4413.7,1515.1,1469.5,1477.9,1552.3,1243.7,1723.7,102.6,97.7,99.8,105.3,82.9,117.6,0.208,0.201,0.203,0.213,0.171,0.24,14.6,14.3,14.4,14.9,12.8,16.2,0.057,0.051,0.052,0.062,0.025,0.089,0.668,0.671,0.665,0.672,0.646,0.691,0.593,0.595,0.591,0.594,0.584,0.604,0.635,0.635,0.631,0.638,0.615,0.657
DOE3-6,DOE3,6,8017.6,1588.1,1533.4,1548.8,1627.3,1326.7,1796.1,109.2,104.8,106.2,112.2,89.3,125.2,0.211,0.205,0.206,0.216,0.176,0.238,14.2,14,14,14.4,12.8,15.5,0.063,0.063,0.058,0.068,0.025,0.089,0.634,0.636,0.631,0.637,0.616,0.653,0.581,0.581,0.58,0.582,0.575,0.589,0.635,0.635,0.631,0.638,0.613,0.658
DOE3-60,DOE3,60,6741.9,1573.1,1528.7,1534.5,1611.7,1312.8,1770.4,107.4,103.5,104.5,110.3,87.3,122.6,0.206,0.199,0.201,0.21,0.173,0.233,14.5,14.3,14.2,14.7,12.8,15.8,0.056,0.051,0.052,0.06,0.025,0.089,0.658,0.66,0.655,0.661,0.641,0.677,0.617,0.618,0.616,0.619,0.607,0.626,0.636,0.64,0.633,0.64,0.618,0.658
DOE3-61,DOE3,61,2397,1449.3,1410,1414.9,1483.8,1193.1,1671.9,98.1,95.3,95.6,100.6,79.3,114.4,0.214,0.206,0.208,0.219,0.176,0.245,14.8,14.7,14.6,15,13.2,16.2,0.064,0.063,0.058,0.07,0.025,0.089,0.66,0.663,0.657,0.664,0.638,0.688,0.59,0.589,0.588,0.591,0.581,0.598,0.645,0.644,0.642,0.649,0.623,0.668
DOE3-62,DOE3,62,3813.8,1494,1436,1457.8,1530.1,1227.8,1694.9,101.8,96.8,99.1,104.4,82.1,117.6,0.209,0.206,0.204,0.214,0.173,0.24,15,14.8,14.7,15.2,13.3,16.3,0.058,0.051,0.053,0.062,0.025,0.089,0.658,0.659,0.654,0.661,0.634,0.684,0.598,0.599,0.597,0.6,0.589,0.607,0.643,0.641,0.64,0.646,0.619,0.668
DOE3-63,DOE3,63,6207.1,1567.5,1523.9,1528.4,1606.5,1293.3,1799.2,107.1,104.2,104.3,110,86.5,124.2,0.207,0.199,0.202,0.212,0.169,0.236,14.7,14.5,14.4,14.9,13,16,0.059,0.051,0.054,0.065,0.025,0.077,0.652,0.655,0.649,0.656,0.633,0.677,0.616,0.618,0.614,0.618,0.606,0.627,0.637,0.639,0.634,0.64,0.617,0.656
DOE3-64,DOE3,64,2483.7,1425.4,1363.2,1392,1458.9,1201.8,1594.4,96,92.6,93.6,98.4,80.2,108.7,0.214,0.213,0.209,0.219,0.181,0.242,15.4,15.2,15.2,15.6,13.9,16.7,0.059,0.051,0.054,0.065,0.025,0.077,0.647,0.649,0.643,0.651,0.622,0.673,0.599,0.6,0.598,0.6,0.592,0.607,0.661,0.661,0.658,0.664,0.638,0.685
DOE3-65,DOE3,65,2922.3,1474.8,1413,1439.2,1510.4,1215.7,1678.4,100.2,96.3,97.6,102.7,81.5,115.3,0.211,0.207,0.205,0.216,0.176,0.241,15.6,15.4,15.3,15.8,13.9,17.2,0.063,0.051,0.056,0.07,0.025,0.089,0.645,0.646,0.641,0.649,0.623,0.674,0.606,0.607,0.605,0.608,0.598,0.616,0.658,0.659,0.655,0.661,0.638,0.68
DOE3-66,DOE3,66,4356.1,1524,1489.8,1488.4,1559.6,1271.8,1759.7,105.2,102.5,102.6,107.9,85.9,122.3,0.211,0.204,0.206,0.216,0.173,0.24,14.7,14.5,14.5,14.9,13.2,16.1,0.061,0.063,0.056,0.066,0.025,0.089,0.644,0.646,0.641,0.647,0.625,0.669,0.618,0.619,0.617,0.62,0.609,0.629,0.64,0.64,0.637,0.643,0.621,0.663
DOE3-67,DOE3,67,3034,1396,1333.2,1359.9,1432.1,1113.9,1607,93.7,87.8,91.1,96.3,73.6,108.6,0.219,0.216,0.214,0.225,0.181,0.257,15.9,15.7,15.7,16.1,14.2,17.2,0.062,0.051,0.057,0.067,0.025,0.089,0.63,0.635,0.625,0.634,0.597,0.666,0.604,0.604,0.602,0.605,0.595,0.611,0.666,0.667,0.663,0.669,0.646,0.688
DOE3-68,DOE3,68,2393.9,1425.4,1382.4,1389.3,1461.5,1147.9,1604.3,95.7,93.5,93.1,98.3,76.6,108.7,0.218,0.209,0.212,0.223,0.181,0.252,15.9,15.8,15.7,16.2,14.2,17.5,0.062,0.051,0.055,0.068,0.025,0.089,0.627,0.634,0.623,0.632,0.598,0.659,0.611,0.611,0.609,0.612,0.603,0.62,0.667,0.667,0.664,0.67,0.649,0.686
DOE3-69,DOE3,69,4155,1493.7,1444.6,1459,1528.4,1231,1695.6,102.8,97.8,100.2,105.4,83.3,118.4,0.213,0.21,0.208,0.218,0.177,0.246,15,14.7,14.7,15.2,13.5,16.3,0.058,0.051,0.053,0.063,0.025,0.089,0.636,0.64,0.632,0.639,0.614,0.66,0.622,0.622,0.621,0.624,0.613,0.631,0.651,0.653,0.648,0.655,0.631,0.672
DOE3-7,DOE3,7,3699,1504.6,1459.6,1467.9,1541.4,1228.8,1740.4,102.4,98.4,99.7,105.1,82.6,119.5,0.214,0.207,0.208,0.219,0.174,0.247,14.8,14.7,14.6,15,13.2,16.3,0.063,0.063,0.057,0.069,0.025,0.089,0.638,0.639,0.635,0.642,0.616,0.667,0.553,0.554,0.552,0.554,0.546,0.561,0.648,0.649,0.645,0.651,0.63,0.668
DOE3-70,DOE3,70,2005.5,1327.1,1300.8,1292.4,1361.7,1087.2,1502.6,89.3,86.5,86.8,91.8,72.4,101.3,0.232,0.221,0.226,0.238,0.191,0.264,16,15.9,15.8,16.2,14.4,17.5,0.073,0.051,0.063,0.083,0.025,0.089,0.607,0.617,0.602,0.613,0.578,0.646,0.603,0.604,0.602,0.604,0.596,0.611,0.666,0.669,0.663,0.67,0.646,0.686
DOE3-71,DOE3,71,2466.5,1355.1,1283.8,1317.8,1392.5,1085.1,1538.6,91.4,86.5,88.7,94,72,104.6,0.231,0.225,0.224,0.237,0.189,0.269,16.2,16,15.9,16.4,14.5,17.7,0.071,0.051,0.062,0.08,0.025,0.089,0.602,0.606,0.596,0.607,0.567,0.642,0.611,0.611,0.609,0.612,0.603,0.621,0.666,0.669,0.663,0.669,0.646,0.689
DOE3-72,DOE3,72,5236.1,1526.4,1458.9,1489,1563.8,1261.9,1751.3,105.1,100.5,102.4,107.9,85,120.8,0.209,0.207,0.204,0.214,0.172,0.239,15.6,15.4,15.4,15.8,13.9,16.9,0.061,0.063,0.055,0.066,0.025,0.089,0.629,0.632,0.625,0.633,0.603,0.658,0.628,0.628,0.627,0.629,0.62,0.638,0.657,0.658,0.654,0.66,0.637,0.679
DOE3-73,DOE3,73,258.6,1159.4,1126.9,1131.5,1187.2,977.2,1315.8,78.2,75.5,76.2,80.1,65.3,89.2,0.263,0.255,0.257,0.27,0.22,0.294,15.4,15.3,15.2,15.6,14,16.6,0.094,0.063,0.08,0.108,0.038,0.101,0.569,0.58,0.563,0.576,0.536,0.614,0.596,0.596,0.595,0.597,0.589,0.604,0.65,0.652,0.647,0.653,0.631,0.672
DOE3-74,DOE3,74,1074,1189.2,1132.7,1157,1221.4,977.7,1328.2,80.5,77.2,78.2,82.7,65,90.4,0.261,0.257,0.254,0.267,0.22,0.297,15.5,15.2,15.3,15.7,13.9,16.8,0.092,0.063,0.08,0.105,0.026,0.101,0.566,0.57,0.559,0.572,0.532,0.608,0.604,0.605,0.603,0.606,0.596,0.613,0.654,0.655,0.651,0.657,0.634,0.675
